Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,claimed_at,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,bully,secret,replied_to_at_least_one_review_cache,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,completion_percent_cache
https://homestars.com/on/essex-county/architects,15,https://homestars.com/on/essex-county/architects?&page=2&,Architects,2788833,NA,/companies/2788833-madison-dental-family-and-cosmetic-dentistry?searched_category_id=309&service_area=1847345,NA,madison-dental-family-and-cosmetic-dentistry,2011-07-08T18:04:01.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1851885,Madison Dental   Family And Cosmetic Dentistry,0,0,0,NA,"Architects, Architectural Consultants, Residential Architects, Architect, structural, engineer, architects, landscape architects, architect design, design architect, architectural design, architect landscape, landscape architect, designer architect, architect designer, 3d architect, home architect, architect home, architecture firm, architect firm, construction architect, architect studio, ,",0,2011-07-08T18:04:02.000-04:00,FALSE,0,0,0,FALSE,3d0a4a4526ceab424f5a9fe904639fade0ec3f94,FALSE,FALSE,FALSE,1847345,0,309,NA,NA,NA
https://homestars.com/on/essex-county/architects,15,https://homestars.com/on/essex-county/architects?&page=2&,Architects,2946906,https://jpthomson.com/,/companies/2946906-jp-thomson-architects?searched_category_id=309&service_area=2232765,"Established in 1936, J.P. Thomson Architects Ltd is a full-service architectural firm specializing in site and building design with special emphasis on projects for education, residential, civic, cultural, government and complex institutional. We have completed hundreds of projects within the past five decades and have a wealth of expertise developing solutions which meet the programmatic and economic objectives established by our many and valued clients.",jp-thomson-architects,2020-08-20T13:25:28.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,2009043,JP Thomson Architects,0,0,1,NA,"Architects, Architectural Consultants, Residential Architects, Architect, structural, engineer, architects, landscape architects, architect design, design architect, architectural design, architect landscape, landscape architect, designer architect, architect designer, 3d architect, home architect, architect home, architecture firm, architect firm, construction architect, architect studio, ,",0,2020-08-20T13:27:25.000-04:00,FALSE,0,0,2,FALSE,993fad41730beec292bb86092f944b61b4d5f69c,FALSE,FALSE,FALSE,2232765,0,309,NA,NA,0
https://homestars.com/on/essex-county/architects,15,https://homestars.com/on/essex-county/architects?&page=2&,Architects,2662370,NA,/companies/2662370-maged-basilious-architect?searched_category_id=309&service_area=1675574,NA,maged-basilious-architect,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1725422,Maged Basilious Architect,0,0,0,NA,"Architects, Architectural Consultants, Residential Architects, Architect, structural, engineer, architects, landscape architects, architect design, design architect, architectural design, architect landscape, landscape architect, designer architect, architect designer, 3d architect, home architect, architect home, architecture firm, architect firm, construction architect, architect studio, ,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1675574,0,309,NA,NA,NA
https://homestars.com/on/essex-county/architects,15,https://homestars.com/on/essex-county/architects?&page=2&,Architects,2600234,NA,/companies/2600234-raymond-masters-architect?searched_category_id=309&service_area=1613438,NA,raymond-masters-architect,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1663286,Raymond Masters Architect,0,0,0,NA,"Architects, Architectural Consultants, Residential Architects, Architect, structural, engineer, architects, landscape architects, architect design, design architect, architectural design, architect landscape, landscape architect, designer architect, architect designer, 3d architect, home architect, architect home, architecture firm, architect firm, construction architect, architect studio, ,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1613438,0,309,NA,NA,NA
https://homestars.com/on/essex-county/architects,15,https://homestars.com/on/essex-county/architects?&page=2&,Architects,2593794,NA,/companies/2593794-architecttura-inc-architects?searched_category_id=309&service_area=1606998,NA,architecttura-inc-architects,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1656846,Architecttura Inc-Architects,0,0,0,NA,"Architects, Architectural Consultants, Residential Architects, Architect, structural, engineer, architects, landscape architects, architect design, design architect, architectural design, architect landscape, landscape architect, designer architect, architect designer, 3d architect, home architect, architect home, architecture firm, architect firm, construction architect, architect studio, ,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1606998,0,309,NA,NA,NA
https://homestars.com/on/essex-county/architects,15,https://homestars.com/on/essex-county/architects?&page=2&,Architects,1117835,NA,/companies/1117835-r-a-designs?searched_category_id=309&service_area=142258,NA,r-a-designs,2008-01-10T17:02:10.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,180455,R A Designs,0,0,0,NA,"Architects, Architectural Consultants, Residential Architects, Architect, structural, engineer, architects, landscape architects, architect design, design architect, architectural design, architect landscape, landscape architect, designer architect, architect designer, 3d architect, home architect, architect home, architecture firm, architect firm, construction architect, architect studio, ,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,142258,0,309,NA,NA,NA
https://homestars.com/on/essex-county/architects,15,https://homestars.com/on/essex-county/architects?&page=2&,Architects,2672092,NA,/companies/2672092-randi-glos-architect-incorporated?searched_category_id=309&service_area=1685296,NA,randi-glos-architect-incorporated,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1735144,Randi Glos Architect Incorporated,0,0,0,NA,"Architects, Architectural Consultants, Residential Architects, Architect, structural, engineer, architects, landscape architects, architect design, design architect, architectural design, architect landscape, landscape architect, designer architect, architect designer, 3d architect, home architect, architect home, architecture firm, architect firm, construction architect, architect studio, ,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1685296,0,309,NA,NA,NA
https://homestars.com/on/essex-county/architects,15,https://homestars.com/on/essex-county/architects?&page=2&,Architects,2682436,NA,/companies/2682436-personnel-by-elsie?searched_category_id=309&service_area=1695640,NA,personnel-by-elsie,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1745488,Personnel By Elsie,0,0,0,NA,"Architects, Architectural Consultants, Residential Architects, Architect, structural, engineer, architects, landscape architects, architect design, design architect, architectural design, architect landscape, landscape architect, designer architect, architect designer, 3d architect, home architect, architect home, architecture firm, architect firm, construction architect, architect studio, ,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1695640,0,309,NA,NA,NA
https://homestars.com/on/essex-county/architects,15,https://homestars.com/on/essex-county/architects?&page=2&,Architects,2682438,NA,/companies/2682438-mortgage-architects?searched_category_id=309&service_area=1695642,NA,mortgage-architects,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1745490,Mortgage Architects,0,0,0,NA,"Architects, Architectural Consultants, Residential Architects, Architect, structural, engineer, architects, landscape architects, architect design, design architect, architectural design, architect landscape, landscape architect, designer architect, architect designer, 3d architect, home architect, architect home, architecture firm, architect firm, construction architect, architect studio, ,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1695642,0,309,NA,NA,NA
https://homestars.com/on/essex-county/architects,15,https://homestars.com/on/essex-county/architects?&page=2&,Architects,2601673,NA,/companies/2601673-thomson-j-p-associates-ltd-architects-engineer?searched_category_id=309&service_area=1614877,NA,thomson-j-p-associates-ltd-architects-engineer,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1664725,Thomson J P Associates Ltd Architects & Engineer,0,0,0,NA,"Architects, Architectural Consultants, Residential Architects, Architect, structural, engineer, architects, landscape architects, architect design, design architect, architectural design, architect landscape, landscape architect, designer architect, architect designer, 3d architect, home architect, architect home, architecture firm, architect firm, construction architect, architect studio, ,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1614877,0,309,NA,NA,NA
