Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,claimed_at,subdomain,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,bully,secret,replied_to_at_least_one_review_cache,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,completion_percent_cache
https://homestars.com/on/pittsburgh/masonry-bricklaying,18,https://homestars.com/on/pittsburgh/masonry-bricklaying?&page=2&,Masonry & Bricklaying,2606777,,/companies/2606777-work-of-art-masonry-ltd?searched_category_id=401&service_area=1619981,At Work of Art Masonry Ltd. we pride ourselves in providing high quality custom residential masonry work. Our 2nd generation Mason is always on site and carries on the family tradition of turning homeowners' visions into works of art for over 50 years.,work-of-art-masonry-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,,,,,NA,NA,,,,,FALSE,FALSE,,,FALSE,FALSE,,1669829,Work Of Art Masonry Ltd,0,0,5,NA,"Masonry & Bricklaying, Masonry Supply, Masonry Contractor, Stone Masonry, Brick Laying, Technique, Brick Laying Pattern, stone wall, brick wall, masonry repair, brick repairs, masonry, brick masonry, masonry bricklaying, masonry work, mason contractors, york masonry, masonry companies, brick masonry construction, brick contractors, masonry brick laying, masonry workers, bricklaying firms, parging, ,",0,2021-04-21T17:20:50.000-04:00,,FALSE,0,0,6,FALSE,8a56acc1de2a3dbd1e52f587214bf2a50a1d6fff,FALSE,TRUE,FALSE,1619981,0,401,NA,NA,NA
https://homestars.com/on/pittsburgh/masonry-bricklaying,18,https://homestars.com/on/pittsburgh/masonry-bricklaying?&page=2&,Masonry & Bricklaying,2974704,NA,/companies/2974704-az-construction?searched_category_id=401&service_area=2295839,NA,az-construction,2022-10-21T13:42:57.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,2036602,Az construction ,0,0,10,NA,"Masonry & Bricklaying, Masonry Supply, Masonry Contractor, Stone Masonry, Brick Laying, Technique, Brick Laying Pattern, stone wall, brick wall, masonry repair, brick repairs, masonry, brick masonry, masonry bricklaying, masonry work, mason contractors, york masonry, masonry companies, brick masonry construction, brick contractors, masonry brick laying, masonry workers, bricklaying firms, parging, ,",0,2022-10-21T13:43:36.000-04:00,NA,FALSE,0,0,12,FALSE,1ae00d9816a8c4e758e46785913c1617ffc5a964,FALSE,FALSE,FALSE,2295839,0,401,NA,NA,0
https://homestars.com/on/pittsburgh/masonry-bricklaying,18,https://homestars.com/on/pittsburgh/masonry-bricklaying?&page=2&,Masonry & Bricklaying,2814140,NA,/companies/2814140-artistone-masonry?searched_category_id=401&service_area=1889713,"Artistone Masonry's objective is to achieve customer satisfaction on the highest level, whether working on a small or large masonry project. Our crews are experienced and courteous contractors that will ensure you complete satisfaction with your interior or exterior stone, brick, block or tile project.

First impressions are everything, so allow us with our expertise and understanding to transform the appearance of your building or home to give it that magic and allure it deserves.",artistone-masonry,2013-09-01T23:31:33.000-04:00,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1877085,Artistone Masonry,0,0,0,NA,"Masonry & Bricklaying, Masonry Supply, Masonry Contractor, Stone Masonry, Brick Laying, Technique, Brick Laying Pattern, stone wall, brick wall, masonry repair, brick repairs, masonry, brick masonry, masonry bricklaying, masonry work, mason contractors, york masonry, masonry companies, brick masonry construction, brick contractors, masonry brick laying, masonry workers, bricklaying firms, parging, ,",0,NA,NA,FALSE,0,0,0,FALSE,41b538fce293a500cf8af7c3ebf721708b4a6925,FALSE,FALSE,FALSE,1889713,0,401,NA,NA,0
https://homestars.com/on/pittsburgh/masonry-bricklaying,18,https://homestars.com/on/pittsburgh/masonry-bricklaying?&page=2&,Masonry & Bricklaying,2623033,NA,/companies/2623033-champion-masonry-ltd?searched_category_id=401&service_area=1636237,NA,champion-masonry-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1686085,Champion Masonry Ltd,0,0,0,NA,"Masonry & Bricklaying, Masonry Supply, Masonry Contractor, Stone Masonry, Brick Laying, Technique, Brick Laying Pattern, stone wall, brick wall, masonry repair, brick repairs, masonry, brick masonry, masonry bricklaying, masonry work, mason contractors, york masonry, masonry companies, brick masonry construction, brick contractors, masonry brick laying, masonry workers, bricklaying firms, parging, ,",0,NA,NA,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1636237,0,401,NA,NA,NA
https://homestars.com/on/pittsburgh/masonry-bricklaying,18,https://homestars.com/on/pittsburgh/masonry-bricklaying?&page=2&,Masonry & Bricklaying,2645410,NA,/companies/2645410-m-a-n-masonry-contractors?searched_category_id=401&service_area=1658614,NA,m-a-n-masonry-contractors,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1708462,M-A-N Masonry Contractors,0,0,0,NA,"Masonry & Bricklaying, Masonry Supply, Masonry Contractor, Stone Masonry, Brick Laying, Technique, Brick Laying Pattern, stone wall, brick wall, masonry repair, brick repairs, masonry, brick masonry, masonry bricklaying, masonry work, mason contractors, york masonry, masonry companies, brick masonry construction, brick contractors, masonry brick laying, masonry workers, bricklaying firms, parging, ,",0,NA,NA,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1658614,0,401,NA,NA,NA
https://homestars.com/on/pittsburgh/masonry-bricklaying,18,https://homestars.com/on/pittsburgh/masonry-bricklaying?&page=2&,Masonry & Bricklaying,2653725,NA,/companies/2653725-santin-camillo-mason-contractor?searched_category_id=401&service_area=1666929,NA,santin-camillo-mason-contractor,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1716777,Santin Camillo Mason Contractor,0,0,0,NA,"Masonry & Bricklaying, Masonry Supply, Masonry Contractor, Stone Masonry, Brick Laying, Technique, Brick Laying Pattern, stone wall, brick wall, masonry repair, brick repairs, masonry, brick masonry, masonry bricklaying, masonry work, mason contractors, york masonry, masonry companies, brick masonry construction, brick contractors, masonry brick laying, masonry workers, bricklaying firms, parging, ,",0,NA,NA,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1666929,0,401,NA,NA,NA
https://homestars.com/on/pittsburgh/masonry-bricklaying,18,https://homestars.com/on/pittsburgh/masonry-bricklaying?&page=2&,Masonry & Bricklaying,2602464,NA,/companies/2602464-corsi-m-construction-ltd?searched_category_id=401&service_area=1615668,NA,corsi-m-construction-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1665516,Corsi M Construction Ltd,0,0,0,NA,"Masonry & Bricklaying, Masonry Supply, Masonry Contractor, Stone Masonry, Brick Laying, Technique, Brick Laying Pattern, stone wall, brick wall, masonry repair, brick repairs, masonry, brick masonry, masonry bricklaying, masonry work, mason contractors, york masonry, masonry companies, brick masonry construction, brick contractors, masonry brick laying, masonry workers, bricklaying firms, parging, ,",0,NA,NA,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1615668,0,401,NA,NA,NA
https://homestars.com/on/pittsburgh/masonry-bricklaying,18,https://homestars.com/on/pittsburgh/masonry-bricklaying?&page=2&,Masonry & Bricklaying,2605373,NA,/companies/2605373-reino-salvatore-mason-contractors?searched_category_id=401&service_area=1618577,NA,reino-salvatore-mason-contractors,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1668425,Reino Salvatore Mason Contractors,0,0,0,NA,"Masonry & Bricklaying, Masonry Supply, Masonry Contractor, Stone Masonry, Brick Laying, Technique, Brick Laying Pattern, stone wall, brick wall, masonry repair, brick repairs, masonry, brick masonry, masonry bricklaying, masonry work, mason contractors, york masonry, masonry companies, brick masonry construction, brick contractors, masonry brick laying, masonry workers, bricklaying firms, parging, ,",0,NA,NA,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1618577,0,401,NA,NA,NA
https://homestars.com/on/pittsburgh/masonry-bricklaying,18,https://homestars.com/on/pittsburgh/masonry-bricklaying?&page=2&,Masonry & Bricklaying,2572594,NA,/companies/2572594-k-b-home-insulation-ltd?searched_category_id=401&service_area=1585798,NA,k-b-home-insulation-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1635646,K B Home Insulation Ltd,0,0,0,NA,"Masonry & Bricklaying, Masonry Supply, Masonry Contractor, Stone Masonry, Brick Laying, Technique, Brick Laying Pattern, stone wall, brick wall, masonry repair, brick repairs, masonry, brick masonry, masonry bricklaying, masonry work, mason contractors, york masonry, masonry companies, brick masonry construction, brick contractors, masonry brick laying, masonry workers, bricklaying firms, parging, ,",0,NA,NA,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1585798,0,401,NA,NA,NA
https://homestars.com/on/pittsburgh/masonry-bricklaying,18,https://homestars.com/on/pittsburgh/masonry-bricklaying?&page=2&,Masonry & Bricklaying,2657987,NA,/companies/2657987-w-j-construction?searched_category_id=401&service_area=1671191,NA,w-j-construction,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1721039,W J Construction,0,0,0,NA,"Masonry & Bricklaying, Masonry Supply, Masonry Contractor, Stone Masonry, Brick Laying, Technique, Brick Laying Pattern, stone wall, brick wall, masonry repair, brick repairs, masonry, brick masonry, masonry bricklaying, masonry work, mason contractors, york masonry, masonry companies, brick masonry construction, brick contractors, masonry brick laying, masonry workers, bricklaying firms, parging, ,",0,NA,NA,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1671191,0,401,NA,NA,NA
