Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,claimed_at,subdomain,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,completion_percent_cache,bully,secret,replied_to_at_least_one_review_cache,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact
https://homestars.com/on/lindsay/plumbing,10,https://homestars.com/on/lindsay/plumbing,Plumbing,2963751,,/companies/2963751-the-people-s-plumber-inc?searched_category_id=419&service_area=2270297,,the-people-s-plumber-inc,2022-01-20T16:14:14.000-05:00,NA,NA,NA,,,,,2020,NA,Cash & Credit Cards,,Full Journey Man Plumber,,TRUE,FALSE,,,FALSE,FALSE,,2025701,The People's Plumber Inc.,7,7,1,10,"Plumbing, Plumber, Plumbers, Plumbing Contractor, Plumbing Repair, toilet repair, fixing toilet, fixing sink, broken faucet, faucet repair, tap repair, leaking toilet, leaking sink, leaking pipes, drain snaking, at plumbing, plumbing in, what is plumbing, a plumbing, the plumbing, plumbing and, how to plumbing, plumbing a, plumbing how to, an plumbing, a plumber, plumber, the plumber, plumber plumber, plumber in, how to plumber, plumbers in, the plumbers, plumbers, plumbing pipe, how to plumb, pipes and plumbing, plumbing pipes, pipes for plumbing, plummer, plumbing supplies, plumbing supply, plumbing heating, plumbing & heating, heating and plumbing, heating plumbing, plumbing and heating, pipe plumber, plumbing stores, plumbing suppliers, the plumbs centre, plumb centre, ,",0,2022-01-20T16:16:31.000-05:00,,FALSE,0,0,2,0,FALSE,7bbc743b5a293e3e645ff912af102409a9995e87,TRUE,TRUE,TRUE,2270297,90.52283972,419,NA,NA
https://homestars.com/on/lindsay/plumbing,10,https://homestars.com/on/lindsay/plumbing,Plumbing,2789821,NA,/companies/2789821-mr-rooter-lindsay?searched_category_id=419&service_area=1848797,Mr. Rooter plumbers work extremely hard to deliver the highest level of customer service. We offers 24/7 plumbing services from residential to commercial plumbing. There's A Reason They Call Us Mr.,mr-rooter-lindsay,2011-08-15T22:57:23.000-04:00,NA,ontario ,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1852873,Mr. Rooter Of Lindsay,1,1,0,10,"Plumbing, Plumber, Plumbers, Plumbing Contractor, Plumbing Repair, toilet repair, fixing toilet, fixing sink, broken faucet, faucet repair, tap repair, leaking toilet, leaking sink, leaking pipes, drain snaking, at plumbing, plumbing in, what is plumbing, a plumbing, the plumbing, plumbing and, how to plumbing, plumbing a, plumbing how to, an plumbing, a plumber, plumber, the plumber, plumber plumber, plumber in, how to plumber, plumbers in, the plumbers, plumbers, plumbing pipe, how to plumb, pipes and plumbing, plumbing pipes, pipes for plumbing, plummer, plumbing supplies, plumbing supply, plumbing heating, plumbing & heating, heating and plumbing, heating plumbing, plumbing and heating, pipe plumber, plumbing stores, plumbing suppliers, the plumbs centre, plumb centre, ,",0,2011-08-15T22:57:24.000-04:00,NA,FALSE,0,0,10,NA,FALSE,2f6b7b261559db1a593453e65db9878af2dbf548,FALSE,FALSE,FALSE,1848797,58.6764900119,419,NA,NA
https://homestars.com/on/lindsay/plumbing,10,https://homestars.com/on/lindsay/plumbing,Plumbing,2959530,,/companies/2959530-cardinal-plumbing-electric-kawartha?searched_category_id=419&service_area=2260799,"Cardinal Plumbing & Electric is a proud member of the Kawartha Lakes community. This pride is something we carry into every job with us making it our duty to provide our communities with outstanding service every time. By allowing our experienced team to assist you with your next issue or renovation we guarantee you will see the difference Cardinal can make.

Prompt Service – After arriving a friendly service person will help you with your problem in the same visit not days later. Cardinal Plumbing & Electric guarantees it.

Upfront and Fair Pricing – Don’t wonder what your bill will be from Cardinal Plumbing & Electric. You’ll always know the price of the work before we start any job.

Respect – We wear shoe covers to save your floors, clean up from our work when we’re finished and always treat your home like our own.

Highly Skilled Service Professionals – Get your issue fixed right the first time. We are experienced and never learn on your system. We fix it.

Convenient Appointment Times – We understand that your schedule is busy. We make every effort to book you into an appointment that works for you and update you throughout the day to make sure you know exactly when you can expect us.

Lifetime Warranty – On all our work.

100% Satisfaction Guaranteed – If you are not completely satisfied with our work we stay until you are and will always come back if something happens after we leave.",cardinal-plumbing-electric-kawartha,2021-09-09T09:50:36.000-04:00,NA,NA,NA,,,,,NA,NA,,,,,FALSE,FALSE,,,FALSE,FALSE,,2021507,Cardinal Plumbing & Electric - Kawartha,0,0,1,NA,"Plumbing, Plumber, Plumbers, Plumbing Contractor, Plumbing Repair, toilet repair, fixing toilet, fixing sink, broken faucet, faucet repair, tap repair, leaking toilet, leaking sink, leaking pipes, drain snaking, at plumbing, plumbing in, what is plumbing, a plumbing, the plumbing, plumbing and, how to plumbing, plumbing a, plumbing how to, an plumbing, a plumber, plumber, the plumber, plumber plumber, plumber in, how to plumber, plumbers in, the plumbers, plumbers, plumbing pipe, how to plumb, pipes and plumbing, plumbing pipes, pipes for plumbing, plummer, plumbing supplies, plumbing supply, plumbing heating, plumbing & heating, heating and plumbing, heating plumbing, plumbing and heating, pipe plumber, plumbing stores, plumbing suppliers, the plumbs centre, plumb centre, ,",0,2021-09-09T09:51:29.000-04:00,,FALSE,0,0,1,0,FALSE,899945eea35846edebdd5f089547d1ec3bc944c0,FALSE,TRUE,FALSE,2260799,-1.0,419,NA,NA
https://homestars.com/on/lindsay/plumbing,10,https://homestars.com/on/lindsay/plumbing,Plumbing,2885460,NA,/companies/2885460-grade-right-plumbing?searched_category_id=419&service_area=2088887,"Providing courteous and efficient plumbing services in Lindsay, Fenelon Falls, Bobcaygeon, Kawartha Lakes and Peterborough. Red Seal Certified Master Plumber. Services include: renovations, fixture and appliance installations, drainage and waterlines. Also servicing and supplying sump pumps, sewage pumps, water treatment, well water pump equipment and household boiler systems.",grade-right-plumbing,2016-03-17T17:31:16.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1947884,Grade Right Plumbing,0,0,0,NA,"Plumbing, Plumber, Plumbers, Plumbing Contractor, Plumbing Repair, toilet repair, fixing toilet, fixing sink, broken faucet, faucet repair, tap repair, leaking toilet, leaking sink, leaking pipes, drain snaking, at plumbing, plumbing in, what is plumbing, a plumbing, the plumbing, plumbing and, how to plumbing, plumbing a, plumbing how to, an plumbing, a plumber, plumber, the plumber, plumber plumber, plumber in, how to plumber, plumbers in, the plumbers, plumbers, plumbing pipe, how to plumb, pipes and plumbing, plumbing pipes, pipes for plumbing, plummer, plumbing supplies, plumbing supply, plumbing heating, plumbing & heating, heating and plumbing, heating plumbing, plumbing and heating, pipe plumber, plumbing stores, plumbing suppliers, the plumbs centre, plumb centre, ,",0,NA,NA,FALSE,0,0,0,0,FALSE,068e9b13add80e548f868eb2384ca8495556cf33,FALSE,FALSE,FALSE,2088887,-1.0,419,NA,NA
https://homestars.com/on/lindsay/plumbing,10,https://homestars.com/on/lindsay/plumbing,Plumbing,2613331,NA,/companies/2613331-karelsen-plumbing-heating?searched_category_id=419&service_area=1626535,NA,karelsen-plumbing-heating,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1676383,Karelsen Plumbing & Heating,0,0,0,NA,"Plumbing, Plumber, Plumbers, Plumbing Contractor, Plumbing Repair, toilet repair, fixing toilet, fixing sink, broken faucet, faucet repair, tap repair, leaking toilet, leaking sink, leaking pipes, drain snaking, at plumbing, plumbing in, what is plumbing, a plumbing, the plumbing, plumbing and, how to plumbing, plumbing a, plumbing how to, an plumbing, a plumber, plumber, the plumber, plumber plumber, plumber in, how to plumber, plumbers in, the plumbers, plumbers, plumbing pipe, how to plumb, pipes and plumbing, plumbing pipes, pipes for plumbing, plummer, plumbing supplies, plumbing supply, plumbing heating, plumbing & heating, heating and plumbing, heating plumbing, plumbing and heating, pipe plumber, plumbing stores, plumbing suppliers, the plumbs centre, plumb centre, ,",0,NA,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1626535,-1.0,419,NA,NA
https://homestars.com/on/lindsay/plumbing,10,https://homestars.com/on/lindsay/plumbing,Plumbing,2715310,NA,/companies/2715310-webb-s-plumbing-pump-service?searched_category_id=419&service_area=1728514,NA,webb-s-plumbing-pump-service,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1778362,Webb's Plumbing & Pump Service,0,0,0,NA,"Plumbing, Plumber, Plumbers, Plumbing Contractor, Plumbing Repair, toilet repair, fixing toilet, fixing sink, broken faucet, faucet repair, tap repair, leaking toilet, leaking sink, leaking pipes, drain snaking, at plumbing, plumbing in, what is plumbing, a plumbing, the plumbing, plumbing and, how to plumbing, plumbing a, plumbing how to, an plumbing, a plumber, plumber, the plumber, plumber plumber, plumber in, how to plumber, plumbers in, the plumbers, plumbers, plumbing pipe, how to plumb, pipes and plumbing, plumbing pipes, pipes for plumbing, plummer, plumbing supplies, plumbing supply, plumbing heating, plumbing & heating, heating and plumbing, heating plumbing, plumbing and heating, pipe plumber, plumbing stores, plumbing suppliers, the plumbs centre, plumb centre, ,",0,NA,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1728514,-1.0,419,NA,NA
https://homestars.com/on/lindsay/plumbing,10,https://homestars.com/on/lindsay/plumbing,Plumbing,2628860,NA,/companies/2628860-paul-godwin-plumbing?searched_category_id=419&service_area=1642064,NA,paul-godwin-plumbing,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1691912,Paul Godwin Plumbing,0,0,0,NA,"Plumbing, Plumber, Plumbers, Plumbing Contractor, Plumbing Repair, toilet repair, fixing toilet, fixing sink, broken faucet, faucet repair, tap repair, leaking toilet, leaking sink, leaking pipes, drain snaking, at plumbing, plumbing in, what is plumbing, a plumbing, the plumbing, plumbing and, how to plumbing, plumbing a, plumbing how to, an plumbing, a plumber, plumber, the plumber, plumber plumber, plumber in, how to plumber, plumbers in, the plumbers, plumbers, plumbing pipe, how to plumb, pipes and plumbing, plumbing pipes, pipes for plumbing, plummer, plumbing supplies, plumbing supply, plumbing heating, plumbing & heating, heating and plumbing, heating plumbing, plumbing and heating, pipe plumber, plumbing stores, plumbing suppliers, the plumbs centre, plumb centre, ,",0,NA,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1642064,-1.0,419,NA,NA
https://homestars.com/on/lindsay/plumbing,10,https://homestars.com/on/lindsay/plumbing,Plumbing,2719868,NA,/companies/2719868-desco-plumbing-heating-supply-inc?searched_category_id=419&service_area=1733072,NA,desco-plumbing-heating-supply-inc,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1782920,Desco Plumbing & Heating Supply Inc,0,0,0,NA,"Plumbing, Plumber, Plumbers, Plumbing Contractor, Plumbing Repair, toilet repair, fixing toilet, fixing sink, broken faucet, faucet repair, tap repair, leaking toilet, leaking sink, leaking pipes, drain snaking, at plumbing, plumbing in, what is plumbing, a plumbing, the plumbing, plumbing and, how to plumbing, plumbing a, plumbing how to, an plumbing, a plumber, plumber, the plumber, plumber plumber, plumber in, how to plumber, plumbers in, the plumbers, plumbers, plumbing pipe, how to plumb, pipes and plumbing, plumbing pipes, pipes for plumbing, plummer, plumbing supplies, plumbing supply, plumbing heating, plumbing & heating, heating and plumbing, heating plumbing, plumbing and heating, pipe plumber, plumbing stores, plumbing suppliers, the plumbs centre, plumb centre, ,",0,NA,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1733072,-1.0,419,NA,NA
https://homestars.com/on/lindsay/plumbing,10,https://homestars.com/on/lindsay/plumbing,Plumbing,2704835,NA,/companies/2704835-morris-david?searched_category_id=419&service_area=1718039,NA,morris-david,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1767887,Morris David,0,0,0,NA,"Plumbing, Plumber, Plumbers, Plumbing Contractor, Plumbing Repair, toilet repair, fixing toilet, fixing sink, broken faucet, faucet repair, tap repair, leaking toilet, leaking sink, leaking pipes, drain snaking, at plumbing, plumbing in, what is plumbing, a plumbing, the plumbing, plumbing and, how to plumbing, plumbing a, plumbing how to, an plumbing, a plumber, plumber, the plumber, plumber plumber, plumber in, how to plumber, plumbers in, the plumbers, plumbers, plumbing pipe, how to plumb, pipes and plumbing, plumbing pipes, pipes for plumbing, plummer, plumbing supplies, plumbing supply, plumbing heating, plumbing & heating, heating and plumbing, heating plumbing, plumbing and heating, pipe plumber, plumbing stores, plumbing suppliers, the plumbs centre, plumb centre, ,",0,NA,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1718039,-1.0,419,NA,NA
https://homestars.com/on/lindsay/plumbing,10,https://homestars.com/on/lindsay/plumbing,Plumbing,2768279,NA,/companies/2768279-recor-pipelining?searched_category_id=419&service_area=1781483,NA,recor-pipelining,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1831331,Recor Pipelining,0,0,0,NA,"Plumbing, Plumber, Plumbers, Plumbing Contractor, Plumbing Repair, toilet repair, fixing toilet, fixing sink, broken faucet, faucet repair, tap repair, leaking toilet, leaking sink, leaking pipes, drain snaking, at plumbing, plumbing in, what is plumbing, a plumbing, the plumbing, plumbing and, how to plumbing, plumbing a, plumbing how to, an plumbing, a plumber, plumber, the plumber, plumber plumber, plumber in, how to plumber, plumbers in, the plumbers, plumbers, plumbing pipe, how to plumb, pipes and plumbing, plumbing pipes, pipes for plumbing, plummer, plumbing supplies, plumbing supply, plumbing heating, plumbing & heating, heating and plumbing, heating plumbing, plumbing and heating, pipe plumber, plumbing stores, plumbing suppliers, the plumbs centre, plumb centre, ,",0,NA,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1781483,-1.0,419,NA,NA
