Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,claimed_at,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,completion_percent_cache,bully,secret,replied_to_at_least_one_review_cache,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,latest_approved_review_created_at,subdomain
https://homestars.com/on/east-gwillimbury/staging,10,https://homestars.com/on/east-gwillimbury/staging,Home Staging,2906747,http://www.mintconditionstaging.com,/companies/2906747-mint-condition-staging?searched_category_id=437&service_area=2143577,"At Mint Condition Staging, we deliver home makeovers that actually matter!  Using our honest, professional and creative approach we will share with you, our extensive knowledge of buyer behaviours,  property marketing and strategic home staging techniques to create a finished product that will appeal to the  broadest range of todays buyers and their lifestyle.  Consult with our Certified Staging Professional today who, with the highest level of service, can guide you through the complete process of showcasing your property to sell, with the primary goal of securing the most amount of equity in the shortest amount of time.  
",mint-condition-staging,2017-12-27T18:18:07.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1968932,Mint Condition Staging,2,2,6,10,"Home Staging, Home Staging, Real Estate Staging, House Staging, staging a house for sale, staging a home for sale, fluffing a house, fluffing a home, home fluffer, house fluffer, decorate, furniture rental,",0,2017-12-27T18:18:25.000-05:00,FALSE,0,0,7,0,FALSE,642269fa725464081f68c5992fd2e3c3fce73d29,FALSE,TRUE,FALSE,2143577,65.5357142857,437,NA,NA,NA,NA
https://homestars.com/on/east-gwillimbury/staging,10,https://homestars.com/on/east-gwillimbury/staging,Home Staging,2778878,http://www.flair4homestaging.com,/companies/2778878-flair-4-home-staging?searched_category_id=437&service_area=1831360,"Knowing that you only have 10 seconds or less to make that first impression, we at Flair 4 Home Staging, work our magic to spark buyer interest, build emotional appeal, make a connection and increase your property's marketability.",flair-4-home-staging,2010-03-23T10:19:13.000-04:00,NA,Servicing york region as well as the surrounding GTA. ,,,Your one stop shop for staging lived-in and vacant properties; redesign of lived-in properties; color consultations; decluttering and reorganization services.,,Home Staging,2009,1,"Visa, MC or Check",Yes from CSP,CSP - Licenced Certified Staging Professional,CSP; RESA,TRUE,FALSE,,,TRUE,FALSE,,1841930,Flair 4 Home Staging   No Longer In Business,2,2,7,10,"Home Staging, Home Staging, Real Estate Staging, House Staging, staging a house for sale, staging a home for sale, fluffing a house, fluffing a home, home fluffer, house fluffer, decorate, furniture rental,",1,2010-03-23T10:19:13.000-04:00,FALSE,0,0,7,NA,FALSE,f60893a5f43c83fc368292be786bd5e4520819c5,FALSE,FALSE,FALSE,1831360,44.4970762882,437,NA,NA,2010-05-06T23:59:22.000-04:00,NA
https://homestars.com/on/east-gwillimbury/staging,10,https://homestars.com/on/east-gwillimbury/staging,Home Staging,2857751,NA,/companies/2857751-a-home-2-show?searched_category_id=437&service_area=1986048,NA,a-home-2-show,2014-08-14T15:34:27.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1920181,A Home 2 Show,1,1,0,10,"Home Staging, Home Staging, Real Estate Staging, House Staging, staging a house for sale, staging a home for sale, fluffing a house, fluffing a home, home fluffer, house fluffer, decorate, furniture rental,",0,2014-08-14T15:34:29.000-04:00,FALSE,0,0,0,0,FALSE,06d7dd16806eb6dc514a9978815abe9a83ce6c95,FALSE,FALSE,FALSE,1986048,48.5027472527,437,NA,NA,2014-08-14T15:48:08.000-04:00,NA
https://homestars.com/on/east-gwillimbury/staging,10,https://homestars.com/on/east-gwillimbury/staging,Home Staging,225405,http://www.StagedProductions.com,/companies/225405-staged-productions?searched_category_id=437&service_area=1827365,"Staged homes sell 50% faster and for up to 10% more.   That could mean $20,000 to $50,000 or more.   Can you afford NOT to use a home stager?
",staged-productions,2007-05-17T20:00:00.000-04:00,NA,"Brampton, Concord, Etobicoke, Markham, Mississauga, Newmarket, North York, Oakville, Richmond Hill, Scarborough, Thornhill, Toronto, Unionville, Vaughan, Woodbridge ",8am to 10pm 7 days/wk,,,,,0,0,,,,,FALSE,FALSE,,,FALSE,FALSE,,76494,Staged Productions,2,1,0,9,"Home Staging, Home Staging, Real Estate Staging, House Staging, staging a house for sale, staging a home for sale, fluffing a house, fluffing a home, home fluffer, house fluffer, decorate, furniture rental,",0,2007-05-17T20:00:00.000-04:00,FALSE,0,0,0,NA,FALSE,46fb221eaa34c1b9e18dc824607a3b95391646e0,FALSE,FALSE,FALSE,1827365,18.3148351648,437,NA,NA,2010-03-20T16:29:30.000-04:00,NA
https://homestars.com/on/east-gwillimbury/staging,10,https://homestars.com/on/east-gwillimbury/staging,Home Staging,2963903,,/companies/2963903-newfie-sisters-staging-downsizing-inc?searched_category_id=437&service_area=2270624,Newfie Sisters Staging Inc. is a premium full service staging company that will declutter & stage your home to be market ready in an affordable and breathtaking way.,newfie-sisters-staging-downsizing-inc,2022-01-25T09:55:10.000-05:00,NA,NA,NA,,,,,NA,NA,,,,,FALSE,FALSE,,,FALSE,FALSE,,2025853,Newfie Sisters Staging & Downsizing Inc.,0,0,10,NA,"Home Staging, Home Staging, Real Estate Staging, House Staging, staging a house for sale, staging a home for sale, fluffing a house, fluffing a home, home fluffer, house fluffer, decorate, furniture rental,",0,2022-01-25T09:55:21.000-05:00,FALSE,0,0,11,0,FALSE,7d356da7a5a057b8a6519d03637e81caf4e8e8d2,FALSE,TRUE,FALSE,2270624,-1.0,437,NA,NA,NA,
https://homestars.com/on/east-gwillimbury/staging,10,https://homestars.com/on/east-gwillimbury/staging,Home Staging,2884225,NA,/companies/2884225-istage-organize?searched_category_id=437&service_area=2084242,"iStage & Organize provide home staging and home organization services to help home owners sell their homes faster and for more money.
",istage-organize,2016-02-19T14:12:54.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1946649,I Stage & Organize,0,0,0,NA,"Home Staging, Home Staging, Real Estate Staging, House Staging, staging a house for sale, staging a home for sale, fluffing a house, fluffing a home, home fluffer, house fluffer, decorate, furniture rental,",0,NA,FALSE,0,0,0,0,FALSE,560c90058e752dd68d0654e39f5f76b30420bb9d,FALSE,FALSE,FALSE,2084242,-1.0,437,NA,NA,NA,NA
https://homestars.com/on/east-gwillimbury/staging,10,https://homestars.com/on/east-gwillimbury/staging,Home Staging,2778845,http://www.missfixit.ca,/companies/2778845-miss-fix-it?searched_category_id=437&service_area=1831327,,miss-fix-it,2010-03-21T15:26:04.000-04:00,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1841897,Miss Fix It,0,0,0,NA,"Home Staging, Home Staging, Real Estate Staging, House Staging, staging a house for sale, staging a home for sale, fluffing a house, fluffing a home, home fluffer, house fluffer, decorate, furniture rental,",0,2010-03-21T15:26:04.000-04:00,FALSE,0,0,0,NA,FALSE,ad00e9e3b9a051a4a39805a5870a5cc413cfa10c,FALSE,FALSE,FALSE,1831327,-1.0,437,NA,NA,NA,NA
https://homestars.com/on/east-gwillimbury/staging,10,https://homestars.com/on/east-gwillimbury/staging,Home Staging,2813763,,/companies/2813763-lori-pedersen-home-staging-styling-a-div-of-trilo-j?searched_category_id=437&service_area=1888849,"For Selling, or Dwelling! 
As a Canadian Certified Staging Professional (CCSP), my goal is to help you achieve the best return for your home, in minimal time on the market.
Your listing will stand out, draw buyers in, and ultimately sell your home quickly and for a higher price. 
If Dwelling, your home can be stylish, functional, and a place you love to come home to!
We provide our clients with assistance in home renovations and updates, design and layout, as well as all aspects of furniture and decor. ",lori-pedersen-home-staging-styling-a-div-of-trilo-j,2013-08-21T00:45:43.000-04:00,NA,NA,,,,,,NA,NA,,,,,FALSE,FALSE,,,FALSE,FALSE,,1876708,"Lori Pedersen Home Staging+Styling, A Div Of Trilo J",1,0,0,NA,"Home Staging, Home Staging, Real Estate Staging, House Staging, staging a house for sale, staging a home for sale, fluffing a house, fluffing a home, home fluffer, house fluffer, decorate, furniture rental,",0,2013-08-21T00:45:44.000-04:00,FALSE,0,0,0,0,FALSE,4ebe82fca329ae3f211fccc0b58c35847f57b437,FALSE,TRUE,FALSE,1888849,-1.0,437,NA,NA,NA,
https://homestars.com/on/east-gwillimbury/staging,10,https://homestars.com/on/east-gwillimbury/staging,Home Staging,2903915,http://www.martindesigns.ca,/companies/2903915-martin-designs?searched_category_id=437&service_area=2137481,"We specialize in Real Estate Home Staging and Interior Decorating.  As a certified CSP Master and Mentor in the staging industry, Susan brings over 20 years of experience to this profession.  We provide staging consultations, colour and decorating advise, rental inventory for staged properties from our extensive collection that is located in our warehouse in Newmarket.  We deliver a style that sellers love and buyers want to own.",martin-designs,2017-10-24T21:02:30.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1966100,Martin Designs,1,0,8,NA,"Home Staging, Home Staging, Real Estate Staging, House Staging, staging a house for sale, staging a home for sale, fluffing a house, fluffing a home, home fluffer, house fluffer, decorate, furniture rental,",0,2018-04-26T16:27:56.000-04:00,FALSE,0,0,10,0,FALSE,e4a687b3a147ed42d852bce964b17da81a647de3,FALSE,FALSE,FALSE,2137481,-1.0,437,NA,NA,NA,NA
https://homestars.com/on/east-gwillimbury/staging,10,https://homestars.com/on/east-gwillimbury/staging,Home Staging,2570469,NA,/companies/2570469-country-gardens-flowers-gifts?searched_category_id=437&service_area=1583673,NA,country-gardens-flowers-gifts,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1633521,Country Gardens Flowers & Gifts,0,0,0,NA,"Home Staging, Home Staging, Real Estate Staging, House Staging, staging a house for sale, staging a home for sale, fluffing a house, fluffing a home, home fluffer, house fluffer, decorate, furniture rental,",0,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1583673,-1.0,437,NA,NA,NA,NA
