Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,completion_percent_cache,bully,secret,replied_to_at_least_one_review_cache,latest_approved_review_created_at,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,claimed_at,subdomain
https://homestars.com/on/furdale/window-gutter-cleaning,15,https://homestars.com/on/furdale/window-gutter-cleaning?&page=2&,Window & Gutter Cleaning,2890472,,/companies/2890472-the-coolman-company?searched_category_id=450&service_area=2131412,this is not a real company.,the-coolman-company,2016-09-21T12:40:10.000-04:00,NA,NA,NA,,,,,NA,NA,,,,,FALSE,FALSE,,1,FALSE,FALSE,,1952896,The Coolman Company,15,9,23,8.11111,"Garage Doors & Hardware, Garage Door Opener, Garage Door Repair, Wood Garage Door, Garage Door Installation, Installing garage doors, electric garage doors, automatic garage doors, custom garage doors, metal garage door, for garage, garage, garage door, overhead, garagedoor, garage doors, door opener, garage opener, garage door opener, garagedoors, garage door openers, garage repair, garage door repair, repair garage door, liftmaster, overhead door, overhead doors, metal doors, garage door replacement, garage door repairs, iron door, door accessories, garage parts, parts garage, fix garage door, garage door parts, genie garage door, garage door opener, ,Appliance Repair, Appliance Repair Service, Appliance Repair Parts, Appliance Repair Manuals, Fridge Repair, Stove Repair, Oven Repair, Washer Repair, Dryer Repair, Microwave Repair, appliance repair, appliance parts, refrigerator repair, refrigerator parts, dishwasher repair, dishwasher parts, washing machine repair, washing machine parts, washer parts, dryer parts, dryer repair, stove repair, stove parts, water heater repair, appliance parts and repair, appliance parts, appliance installation, wrench, ,Window & Gutter Cleaning, Window Cleaning, Eavestrough cleaning, residential window cleaning, Windows, caulking,Gutters & Eavestroughs, Eavestrough Cleaning, Eavestrough Installation, Eavestrough Maintenance, gutter cleaning, gutter installation, gutter maintenance, installing gutters, installing eavestroughs, Eavestrough Repair, ,",0,FALSE,0,0,40,0,FALSE,a87117db6e0f7f4dc00523988d47f01e610108a6,TRUE,2016-10-13T13:48:44.000-04:00,TRUE,TRUE,2131412,22.842765462,450,NA,NA,NA,NA
https://homestars.com/on/furdale/window-gutter-cleaning,15,https://homestars.com/on/furdale/window-gutter-cleaning?&page=2&,Window & Gutter Cleaning,2934772,http://www.wonderfulwindows.ca,/companies/2934772-wonderful-windows?searched_category_id=450&service_area=2205536,"Wonderful Windows Interior & Exterior Window Cleaning. We guarantee your satisfaction on all our services or we do it again for free. Safe for your kids, pets or plants as we don't use any chemicals.",wonderful-windows,2019-09-09T18:48:41.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1996946,Wonderful Windows,4,3,6,10,"Window & Gutter Cleaning, Window Cleaning, Eavestrough cleaning, residential window cleaning, Windows, caulking,",0,FALSE,0,0,7,0,FALSE,fce220e8cf331503aed48f020df1874f241f0da0,TRUE,NA,TRUE,FALSE,2205536,87.35930252,450,NA,NA,2019-09-09T18:49:10.000-04:00,NA
https://homestars.com/on/furdale/window-gutter-cleaning,15,https://homestars.com/on/furdale/window-gutter-cleaning?&page=2&,Window & Gutter Cleaning,2956982,NA,/companies/2956982-college-pro?searched_category_id=450&service_area=2255090,NA,college-pro,2021-06-07T01:11:13.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,2018959,College Pro,0,0,1,NA,"Window & Gutter Cleaning, Window Cleaning, Eavestrough cleaning, residential window cleaning, Windows, caulking,",0,FALSE,0,0,2,0,FALSE,3a7388e734d18053113124dd3af64239be89c469,FALSE,NA,TRUE,FALSE,2255090,-1.0,450,NA,NA,2021-06-07T01:14:33.000-04:00,NA
https://homestars.com/on/furdale/window-gutter-cleaning,15,https://homestars.com/on/furdale/window-gutter-cleaning?&page=2&,Window & Gutter Cleaning,2956767,,/companies/2956767-college-pro?searched_category_id=450&service_area=2254600,"Student Window cleaning, gutter cleaning, pressure washing, and deck, fence, and concrete sealing",college-pro,2021-05-30T12:20:05.000-04:00,NA,NA,NA,,,,,NA,NA,,,,,FALSE,FALSE,,,FALSE,FALSE,,2018744,College Pro,0,0,2,NA,"Window & Gutter Cleaning, Window Cleaning, Eavestrough cleaning, residential window cleaning, Windows, caulking,",0,FALSE,0,0,3,0,FALSE,428de57a31e544c56f807cd2e5a60ca40642802b,FALSE,NA,TRUE,FALSE,2254600,-1.0,450,NA,NA,2021-05-30T12:24:13.000-04:00,
https://homestars.com/on/furdale/window-gutter-cleaning,15,https://homestars.com/on/furdale/window-gutter-cleaning?&page=2&,Window & Gutter Cleaning,2893787,NA,/companies/2893787-massive-tackle-contracting?searched_category_id=450&service_area=2114199,"Massive Tackle Contracting is a new Saskatoon based Window & Building Cleaning Company.
Although we are City based, we provide cleaning services to rural clients throughout the Province of Saskatchewan.
Need the Cottage cleaned before your arrival? We can tackle that!

",massive-tackle-contracting,2017-02-04T18:08:50.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1956211,Massive Tackle Contracting,0,0,0,NA,"Window & Gutter Cleaning, Window Cleaning, Eavestrough cleaning, residential window cleaning, Windows, caulking,",0,FALSE,0,0,0,0,FALSE,b9dd1363256b6741fa55a41ff6ca484773d4415c,FALSE,NA,TRUE,FALSE,2114199,-1.0,450,NA,NA,NA,NA
https://homestars.com/on/furdale/window-gutter-cleaning,15,https://homestars.com/on/furdale/window-gutter-cleaning?&page=2&,Window & Gutter Cleaning,2897232,http://www.meninkilts.com/saskatoon,/companies/2897232-men-in-kilts-saskatoon?searched_category_id=450&service_area=2123433,"Professional residential and commercial window, gutter, and exterior home/building cleaning",men-in-kilts-saskatoon,2017-05-17T14:56:17.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1959656,Men In Kilts Saskatoon,0,0,0,NA,"Window & Gutter Cleaning, Window Cleaning, Eavestrough cleaning, residential window cleaning, Windows, caulking,",0,FALSE,0,0,1,0,FALSE,4fe02afea68d506f7a83a44201497dd6400e9fba,FALSE,NA,FALSE,FALSE,2123433,-1.0,450,NA,NA,2017-05-17T14:56:48.000-04:00,NA
https://homestars.com/on/furdale/window-gutter-cleaning,15,https://homestars.com/on/furdale/window-gutter-cleaning?&page=2&,Window & Gutter Cleaning,2965639,NA,/companies/2965639-wild-canadian-industries?searched_category_id=450&service_area=2274476,NA,wild-canadian-industries,2022-03-08T13:25:01.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,2027569,Wild Canadian Industries,0,0,0,NA,"Window & Gutter Cleaning, Window Cleaning, Eavestrough cleaning, residential window cleaning, Windows, caulking,",0,FALSE,0,0,0,0,FALSE,51831e82198bcfbd8448a95b142a0aaa4cad401c,FALSE,NA,FALSE,FALSE,2274476,-1.0,450,NA,NA,2022-03-08T13:25:28.000-05:00,NA
https://homestars.com/on/furdale/window-gutter-cleaning,15,https://homestars.com/on/furdale/window-gutter-cleaning?&page=2&,Window & Gutter Cleaning,2627946,NA,/companies/2627946-tip-top-window-cleaners?searched_category_id=450&service_area=1641150,NA,tip-top-window-cleaners,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1690998,Tip Top Window Cleaners,0,0,0,NA,"Window & Gutter Cleaning, Window Cleaning, Eavestrough cleaning, residential window cleaning, Windows, caulking,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,1641150,-1.0,450,NA,NA,NA,NA
https://homestars.com/on/furdale/window-gutter-cleaning,15,https://homestars.com/on/furdale/window-gutter-cleaning?&page=2&,Window & Gutter Cleaning,2633109,NA,/companies/2633109-quik-caretaking-ltd?searched_category_id=450&service_area=1646313,NA,quik-caretaking-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1696161,Quik Caretaking Ltd,0,0,0,NA,"Window & Gutter Cleaning, Window Cleaning, Eavestrough cleaning, residential window cleaning, Windows, caulking,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,1646313,-1.0,450,NA,NA,NA,NA
https://homestars.com/on/furdale/window-gutter-cleaning,15,https://homestars.com/on/furdale/window-gutter-cleaning?&page=2&,Window & Gutter Cleaning,2861391,NA,/companies/2861391-clearview-window-cleaning?searched_category_id=450&service_area=1998285,NA,clearview-window-cleaning,2014-10-29T13:24:39.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1923821,Clearview Window Cleaning,1,0,0,NA,"Window & Gutter Cleaning, Window Cleaning, Eavestrough cleaning, residential window cleaning, Windows, caulking,",0,FALSE,0,0,0,0,FALSE,NA,FALSE,NA,FALSE,FALSE,1998285,-1.0,450,NA,NA,NA,NA
