Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,claimed_at,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,completion_percent_cache,bully,secret,replied_to_at_least_one_review_cache,has_set_tasks,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,lead_purchase_eligible,latest_approved_review_created_at
https://homestars.com/on/sandwich-south/builders,65,"c(""https://homestars.com/on/sandwich-south/builders?&page=2&"", ""https://homestars.com/on/sandwich-south/builders?&page=3&"", ""https://homestars.com/on/sandwich-south/builders?&page=4&"", ""https://homestars.com/on/sandwich-south/builders?&page=5&"", ""https://homestars.com/on/sandwich-south/builders?&page=6&"", ""https://homestars.com/on/sandwich-south/builders?&page=7&"")",Builders,2973008,NA,/companies/2973008-scarfone-construction?searched_category_id=321&service_area=2291603,NA,scarfone-construction,2022-09-13T18:13:08.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,2034919,Scarfone Construction,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,2022-09-13T18:13:59.000-04:00,FALSE,0,0,0,0,FALSE,ba2e49f4ddbbc209120aea168a0bd2b43f747a42,FALSE,FALSE,2291603,0,321,NA,NA,NA,NA
https://homestars.com/on/sandwich-south/builders,65,"c(""https://homestars.com/on/sandwich-south/builders?&page=2&"", ""https://homestars.com/on/sandwich-south/builders?&page=3&"", ""https://homestars.com/on/sandwich-south/builders?&page=4&"", ""https://homestars.com/on/sandwich-south/builders?&page=5&"", ""https://homestars.com/on/sandwich-south/builders?&page=6&"", ""https://homestars.com/on/sandwich-south/builders?&page=7&"")",Builders,2633707,NA,/companies/2633707-j-rauti-custom-homes-ltd?searched_category_id=321&service_area=1646911,NA,j-rauti-custom-homes-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1696759,J Rauti Custom Homes Ltd,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,2012-02-11T20:13:37.000-05:00,FALSE,0,0,0,NA,FALSE,9dfc14d194190cad1e23314abac3136c7fc9e564,FALSE,FALSE,1646911,0,321,NA,NA,FALSE,NA
https://homestars.com/on/sandwich-south/builders,65,"c(""https://homestars.com/on/sandwich-south/builders?&page=2&"", ""https://homestars.com/on/sandwich-south/builders?&page=3&"", ""https://homestars.com/on/sandwich-south/builders?&page=4&"", ""https://homestars.com/on/sandwich-south/builders?&page=5&"", ""https://homestars.com/on/sandwich-south/builders?&page=6&"", ""https://homestars.com/on/sandwich-south/builders?&page=7&"")",Builders,2682111,NA,/companies/2682111-lahoud-brothers-renovations-custom-homes?searched_category_id=321&service_area=1695315,NA,lahoud-brothers-renovations-custom-homes,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1745163,Lahoud Brothers Renovations & Custom Homes,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,2011-11-08T20:57:51.000-05:00,FALSE,0,0,0,NA,FALSE,125a465a642cfb93fe716cf227e5fe607e84e332,FALSE,FALSE,1695315,0,321,NA,NA,FALSE,NA
https://homestars.com/on/sandwich-south/builders,65,"c(""https://homestars.com/on/sandwich-south/builders?&page=2&"", ""https://homestars.com/on/sandwich-south/builders?&page=3&"", ""https://homestars.com/on/sandwich-south/builders?&page=4&"", ""https://homestars.com/on/sandwich-south/builders?&page=5&"", ""https://homestars.com/on/sandwich-south/builders?&page=6&"", ""https://homestars.com/on/sandwich-south/builders?&page=7&"")",Builders,2792575,NA,/companies/2792575-lapico-custom-homes?searched_category_id=321&service_area=1852870,NA,lapico-custom-homes,2011-11-17T09:27:52.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1855627,Lapico Custom Homes,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,2011-11-17T09:27:55.000-05:00,FALSE,0,0,0,NA,FALSE,8264e8de001d0632d1c9ee216ae27818da1520db,FALSE,FALSE,1852870,0,321,NA,NA,FALSE,NA
https://homestars.com/on/sandwich-south/builders,65,"c(""https://homestars.com/on/sandwich-south/builders?&page=2&"", ""https://homestars.com/on/sandwich-south/builders?&page=3&"", ""https://homestars.com/on/sandwich-south/builders?&page=4&"", ""https://homestars.com/on/sandwich-south/builders?&page=5&"", ""https://homestars.com/on/sandwich-south/builders?&page=6&"", ""https://homestars.com/on/sandwich-south/builders?&page=7&"")",Builders,2927341,NA,/companies/2927341-prima-construction?searched_category_id=321&service_area=2188548,NA,prima-construction,2019-02-08T14:10:39.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1989515,Prima Construction,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,2019-02-08T14:11:31.000-05:00,FALSE,0,0,0,0,FALSE,ab4604ac362a4b973b277a61cf19a9226e4d90ff,FALSE,FALSE,2188548,0,321,NA,NA,FALSE,NA
https://homestars.com/on/sandwich-south/builders,65,"c(""https://homestars.com/on/sandwich-south/builders?&page=2&"", ""https://homestars.com/on/sandwich-south/builders?&page=3&"", ""https://homestars.com/on/sandwich-south/builders?&page=4&"", ""https://homestars.com/on/sandwich-south/builders?&page=5&"", ""https://homestars.com/on/sandwich-south/builders?&page=6&"", ""https://homestars.com/on/sandwich-south/builders?&page=7&"")",Builders,2671647,http://www.goulet-homes.com,/companies/2671647-goulet-homes-inc?searched_category_id=321&service_area=1684851,,goulet-homes-inc,2008-03-04T16:55:15.000-05:00,NA,NA,Mon-Fri 9-4:30pm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1734699,Goulet Homes Inc,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,2008-06-25T06:43:38.000-04:00,FALSE,0,0,0,NA,FALSE,b6d5c4aed7bb68cd76ef5965ca9bd10ebc94b89e,FALSE,FALSE,1684851,0,321,NA,NA,FALSE,NA
https://homestars.com/on/sandwich-south/builders,65,"c(""https://homestars.com/on/sandwich-south/builders?&page=2&"", ""https://homestars.com/on/sandwich-south/builders?&page=3&"", ""https://homestars.com/on/sandwich-south/builders?&page=4&"", ""https://homestars.com/on/sandwich-south/builders?&page=5&"", ""https://homestars.com/on/sandwich-south/builders?&page=6&"", ""https://homestars.com/on/sandwich-south/builders?&page=7&"")",Builders,2877577,NA,/companies/2877577-eagledeye-construction-services?searched_category_id=321&service_area=2058721,NA,eagledeye-construction-services,2015-10-08T09:37:34.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1940001,Eagledeye construction services,1,1,0,10,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,NA,FALSE,0,0,0,0,FALSE,NA,FALSE,FALSE,2058721,73.999088628,321,NA,NA,FALSE,2015-10-08T09:40:18.000-04:00
https://homestars.com/on/sandwich-south/builders,65,"c(""https://homestars.com/on/sandwich-south/builders?&page=2&"", ""https://homestars.com/on/sandwich-south/builders?&page=3&"", ""https://homestars.com/on/sandwich-south/builders?&page=4&"", ""https://homestars.com/on/sandwich-south/builders?&page=5&"", ""https://homestars.com/on/sandwich-south/builders?&page=6&"", ""https://homestars.com/on/sandwich-south/builders?&page=7&"")",Builders,2744730,NA,/companies/2744730-timberland-general-contractors-windsor-inc?searched_category_id=321&service_area=1757934,NA,timberland-general-contractors-windsor-inc,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1807782,Timberland General Contractors (Windsor) Inc,1,1,0,10,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,1757934,55.6968065708,321,NA,NA,FALSE,2011-05-25T19:26:19.000-04:00
https://homestars.com/on/sandwich-south/builders,65,"c(""https://homestars.com/on/sandwich-south/builders?&page=2&"", ""https://homestars.com/on/sandwich-south/builders?&page=3&"", ""https://homestars.com/on/sandwich-south/builders?&page=4&"", ""https://homestars.com/on/sandwich-south/builders?&page=5&"", ""https://homestars.com/on/sandwich-south/builders?&page=6&"", ""https://homestars.com/on/sandwich-south/builders?&page=7&"")",Builders,2958844,NA,/companies/2958844-r-blais-rene-blais-construction?searched_category_id=321&service_area=2259261,NA,r-blais-rene-blais-construction,2021-08-13T22:37:17.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,2020821,R Blais (Rene Blais) Construction ,1,1,0,0,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,NA,FALSE,0,0,0,0,FALSE,NA,FALSE,FALSE,2259261,7.1674875418,321,NA,NA,FALSE,NA
https://homestars.com/on/sandwich-south/builders,65,"c(""https://homestars.com/on/sandwich-south/builders?&page=2&"", ""https://homestars.com/on/sandwich-south/builders?&page=3&"", ""https://homestars.com/on/sandwich-south/builders?&page=4&"", ""https://homestars.com/on/sandwich-south/builders?&page=5&"", ""https://homestars.com/on/sandwich-south/builders?&page=6&"", ""https://homestars.com/on/sandwich-south/builders?&page=7&"")",Builders,2521904,NA,/companies/2521904-detroit-direct-development?searched_category_id=321&service_area=1535119,NA,detroit-direct-development,2008-01-10T19:00:00.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1584847,Detroit Direct Development,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,1535119,0,321,NA,NA,FALSE,NA
