Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,completion_percent_cache,bully,secret,replied_to_at_least_one_review_cache,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,claimed_at
https://homestars.com/on/saskatoon/building-supplies-and-hardware,20,https://homestars.com/on/saskatoon/building-supplies-and-hardware?&page=2&,Building Supplies and Hardware,2852870,NA,/companies/2852870-amre-supply?searched_category_id=466&service_area=1969093,"AMRE Supply is a network of warehouse locations across Canada stocking parts, products, equipment and supplies required by contractors, property operators, and household owners. Appliance Parts, Plumbing, Motors, Lighting, Electrical, HVAC, Janitorial, Hardware, Tools and Sundries. ",amre-supply,2014-04-29T10:07:31.000-04:00,NA,NA,"Monday To Friday 8:00am to 5:00pm, Saturday & Sunday Closed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1915301,Amre Supply,0,0,0,NA,"Building Supplies and Hardware, Hardware Tool, Cabinet Hardware, Hardware Store, Computer Hardware, Antique Hardware, lumber, roofing material, tools, materials, supplies, shingles, building supplies, building supply stores, building supplies stores,  hardware, home building supplies, wholesale building supplies, contractors building supplies, surplus building supplies, salvage building supplies, lumber stores, wood building supplies, hardware supplies, building supplies wholesale, lumber yard supply, house building supplies, apartment building supplies, builders supplies, building hardware, ,Stanby power generator, standby power generator, ,",0,FALSE,0,0,0,0,FALSE,a094535951e275a37aa252a84232e83d23ac5d9d,FALSE,TRUE,FALSE,1969093,-1.0,466,NA,NA,NA
https://homestars.com/on/saskatoon/building-supplies-and-hardware,20,https://homestars.com/on/saskatoon/building-supplies-and-hardware?&page=2&,Building Supplies and Hardware,2930625,https://www.jdsbuild.ca,/companies/2930625-jds-building-supply-ltd?searched_category_id=466&service_area=2196089,We are a supplier of high quality ADEX E.I.F.S & conventional stucco materials. Contact us today and let our network of experienced trades help you with all of your stucco needs.,jds-building-supply-ltd,2019-05-03T11:26:24.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1992799,JDS Building Supply Ltd.,0,0,1,NA,"Building Supplies and Hardware, Hardware Tool, Cabinet Hardware, Hardware Store, Computer Hardware, Antique Hardware, lumber, roofing material, tools, materials, supplies, shingles, building supplies, building supply stores, building supplies stores,  hardware, home building supplies, wholesale building supplies, contractors building supplies, surplus building supplies, salvage building supplies, lumber stores, wood building supplies, hardware supplies, building supplies wholesale, lumber yard supply, house building supplies, apartment building supplies, builders supplies, building hardware, ,Stanby power generator, standby power generator, ,",0,FALSE,0,0,2,0,FALSE,5acf83aa19df2ea41e30ea9be7937a2fc63ff1a6,FALSE,TRUE,FALSE,2196089,0,466,NA,NA,2019-05-03T11:26:37.000-04:00
https://homestars.com/on/saskatoon/building-supplies-and-hardware,20,https://homestars.com/on/saskatoon/building-supplies-and-hardware?&page=2&,Building Supplies and Hardware,2680740,NA,/companies/2680740-centuryvallen?searched_category_id=466&service_area=1693944,NA,centuryvallen,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1743792,CenturyVallen,0,0,0,NA,"Building Supplies and Hardware, Hardware Tool, Cabinet Hardware, Hardware Store, Computer Hardware, Antique Hardware, lumber, roofing material, tools, materials, supplies, shingles, building supplies, building supply stores, building supplies stores,  hardware, home building supplies, wholesale building supplies, contractors building supplies, surplus building supplies, salvage building supplies, lumber stores, wood building supplies, hardware supplies, building supplies wholesale, lumber yard supply, house building supplies, apartment building supplies, builders supplies, building hardware, ,Stanby power generator, standby power generator, ,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1693944,0,466,NA,NA,NA
https://homestars.com/on/saskatoon/building-supplies-and-hardware,20,https://homestars.com/on/saskatoon/building-supplies-and-hardware?&page=2&,Building Supplies and Hardware,2681623,NA,/companies/2681623-construction-fasteners-tools?searched_category_id=466&service_area=1694827,NA,construction-fasteners-tools,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1744675,Construction Fasteners & Tools,0,0,0,NA,"Building Supplies and Hardware, Hardware Tool, Cabinet Hardware, Hardware Store, Computer Hardware, Antique Hardware, lumber, roofing material, tools, materials, supplies, shingles, building supplies, building supply stores, building supplies stores,  hardware, home building supplies, wholesale building supplies, contractors building supplies, surplus building supplies, salvage building supplies, lumber stores, wood building supplies, hardware supplies, building supplies wholesale, lumber yard supply, house building supplies, apartment building supplies, builders supplies, building hardware, ,Stanby power generator, standby power generator, ,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1694827,0,466,NA,NA,NA
https://homestars.com/on/saskatoon/building-supplies-and-hardware,20,https://homestars.com/on/saskatoon/building-supplies-and-hardware?&page=2&,Building Supplies and Hardware,2653641,NA,/companies/2653641-peavey-mart?searched_category_id=466&service_area=1666845,NA,peavey-mart,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1716693,Peavey Mart,0,0,0,NA,"Building Supplies and Hardware, Hardware Tool, Cabinet Hardware, Hardware Store, Computer Hardware, Antique Hardware, lumber, roofing material, tools, materials, supplies, shingles, building supplies, building supply stores, building supplies stores,  hardware, home building supplies, wholesale building supplies, contractors building supplies, surplus building supplies, salvage building supplies, lumber stores, wood building supplies, hardware supplies, building supplies wholesale, lumber yard supply, house building supplies, apartment building supplies, builders supplies, building hardware, ,Stanby power generator, standby power generator, ,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1666845,-1.0,466,NA,NA,NA
https://homestars.com/on/saskatoon/building-supplies-and-hardware,20,https://homestars.com/on/saskatoon/building-supplies-and-hardware?&page=2&,Building Supplies and Hardware,2602190,NA,/companies/2602190-home-hardware-stores?searched_category_id=466&service_area=1615394,NA,home-hardware-stores,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1665242,Home Hardware Stores,0,0,0,NA,"Building Supplies and Hardware, Hardware Tool, Cabinet Hardware, Hardware Store, Computer Hardware, Antique Hardware, lumber, roofing material, tools, materials, supplies, shingles, building supplies, building supply stores, building supplies stores,  hardware, home building supplies, wholesale building supplies, contractors building supplies, surplus building supplies, salvage building supplies, lumber stores, wood building supplies, hardware supplies, building supplies wholesale, lumber yard supply, house building supplies, apartment building supplies, builders supplies, building hardware, ,Stanby power generator, standby power generator, ,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1615394,0,466,NA,NA,NA
https://homestars.com/on/saskatoon/building-supplies-and-hardware,20,https://homestars.com/on/saskatoon/building-supplies-and-hardware?&page=2&,Building Supplies and Hardware,2666908,NA,/companies/2666908-home-hardware-store?searched_category_id=466&service_area=1680112,NA,home-hardware-store,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1729960,Home Hardware Store,0,0,0,NA,"Building Supplies and Hardware, Hardware Tool, Cabinet Hardware, Hardware Store, Computer Hardware, Antique Hardware, lumber, roofing material, tools, materials, supplies, shingles, building supplies, building supply stores, building supplies stores,  hardware, home building supplies, wholesale building supplies, contractors building supplies, surplus building supplies, salvage building supplies, lumber stores, wood building supplies, hardware supplies, building supplies wholesale, lumber yard supply, house building supplies, apartment building supplies, builders supplies, building hardware, ,Stanby power generator, standby power generator, ,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1680112,0,466,NA,NA,NA
https://homestars.com/on/saskatoon/building-supplies-and-hardware,20,https://homestars.com/on/saskatoon/building-supplies-and-hardware?&page=2&,Building Supplies and Hardware,2660729,NA,/companies/2660729-rainbow-paint-hardware?searched_category_id=466&service_area=1673933,NA,rainbow-paint-hardware,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1723781,Rainbow Paint & Hardware,0,0,0,NA,"Building Supplies and Hardware, Hardware Tool, Cabinet Hardware, Hardware Store, Computer Hardware, Antique Hardware, lumber, roofing material, tools, materials, supplies, shingles, building supplies, building supply stores, building supplies stores,  hardware, home building supplies, wholesale building supplies, contractors building supplies, surplus building supplies, salvage building supplies, lumber stores, wood building supplies, hardware supplies, building supplies wholesale, lumber yard supply, house building supplies, apartment building supplies, builders supplies, building hardware, ,Stanby power generator, standby power generator, ,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1673933,0,466,NA,NA,NA
https://homestars.com/on/saskatoon/building-supplies-and-hardware,20,https://homestars.com/on/saskatoon/building-supplies-and-hardware?&page=2&,Building Supplies and Hardware,2687771,NA,/companies/2687771-mi-construction-supply?searched_category_id=466&service_area=1700975,NA,mi-construction-supply,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1750823,Mi Construction Supply,0,0,0,NA,"Building Supplies and Hardware, Hardware Tool, Cabinet Hardware, Hardware Store, Computer Hardware, Antique Hardware, lumber, roofing material, tools, materials, supplies, shingles, building supplies, building supply stores, building supplies stores,  hardware, home building supplies, wholesale building supplies, contractors building supplies, surplus building supplies, salvage building supplies, lumber stores, wood building supplies, hardware supplies, building supplies wholesale, lumber yard supply, house building supplies, apartment building supplies, builders supplies, building hardware, ,Stanby power generator, standby power generator, ,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1700975,0,466,NA,NA,NA
https://homestars.com/on/saskatoon/building-supplies-and-hardware,20,https://homestars.com/on/saskatoon/building-supplies-and-hardware?&page=2&,Building Supplies and Hardware,2684540,NA,/companies/2684540-home-depot-canada-the?searched_category_id=466&service_area=1697744,NA,home-depot-canada-the,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1747592,Home Depot Canada The,0,0,0,NA,"Building Supplies and Hardware, Hardware Tool, Cabinet Hardware, Hardware Store, Computer Hardware, Antique Hardware, lumber, roofing material, tools, materials, supplies, shingles, building supplies, building supply stores, building supplies stores,  hardware, home building supplies, wholesale building supplies, contractors building supplies, surplus building supplies, salvage building supplies, lumber stores, wood building supplies, hardware supplies, building supplies wholesale, lumber yard supply, house building supplies, apartment building supplies, builders supplies, building hardware, ,Stanby power generator, standby power generator, ,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1697744,0,466,NA,NA,NA
https://homestars.com/on/saskatoon/building-supplies-and-hardware,20,https://homestars.com/on/saskatoon/building-supplies-and-hardware?&page=2&,Building Supplies and Hardware,2679241,NA,/companies/2679241-auto-body-specialties-of-saskatoon?searched_category_id=466&service_area=1692445,NA,auto-body-specialties-of-saskatoon,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1742293,Auto Body Specialties Of Saskatoon,0,0,0,NA,"Building Supplies and Hardware, Hardware Tool, Cabinet Hardware, Hardware Store, Computer Hardware, Antique Hardware, lumber, roofing material, tools, materials, supplies, shingles, building supplies, building supply stores, building supplies stores,  hardware, home building supplies, wholesale building supplies, contractors building supplies, surplus building supplies, salvage building supplies, lumber stores, wood building supplies, hardware supplies, building supplies wholesale, lumber yard supply, house building supplies, apartment building supplies, builders supplies, building hardware, ,Stanby power generator, standby power generator, ,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1692445,0,466,NA,NA,NA
https://homestars.com/on/saskatoon/building-supplies-and-hardware,20,https://homestars.com/on/saskatoon/building-supplies-and-hardware?&page=2&,Building Supplies and Hardware,2688472,NA,/companies/2688472-anchor-construction-industrial-products-ltd?searched_category_id=466&service_area=1701676,NA,anchor-construction-industrial-products-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1751524,Anchor Construction Industrial Products Ltd,0,0,0,NA,"Building Supplies and Hardware, Hardware Tool, Cabinet Hardware, Hardware Store, Computer Hardware, Antique Hardware, lumber, roofing material, tools, materials, supplies, shingles, building supplies, building supply stores, building supplies stores,  hardware, home building supplies, wholesale building supplies, contractors building supplies, surplus building supplies, salvage building supplies, lumber stores, wood building supplies, hardware supplies, building supplies wholesale, lumber yard supply, house building supplies, apartment building supplies, builders supplies, building hardware, ,Stanby power generator, standby power generator, ,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1701676,0,466,NA,NA,NA
https://homestars.com/on/saskatoon/building-supplies-and-hardware,20,https://homestars.com/on/saskatoon/building-supplies-and-hardware?&page=2&,Building Supplies and Hardware,2926971,NA,/companies/2926971-earths-finest-stone?searched_category_id=466&service_area=2187564,NA,earths-finest-stone,2019-01-31T12:01:53.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1989145,Earths Finest Stone,0,0,0,NA,"Building Supplies and Hardware, Hardware Tool, Cabinet Hardware, Hardware Store, Computer Hardware, Antique Hardware, lumber, roofing material, tools, materials, supplies, shingles, building supplies, building supply stores, building supplies stores,  hardware, home building supplies, wholesale building supplies, contractors building supplies, surplus building supplies, salvage building supplies, lumber stores, wood building supplies, hardware supplies, building supplies wholesale, lumber yard supply, house building supplies, apartment building supplies, builders supplies, building hardware, ,Stanby power generator, standby power generator, ,",0,FALSE,0,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,2187564,0,466,NA,NA,NA
https://homestars.com/on/saskatoon/building-supplies-and-hardware,20,https://homestars.com/on/saskatoon/building-supplies-and-hardware?&page=2&,Building Supplies and Hardware,2691054,NA,/companies/2691054-ted-s-power-tool-repair?searched_category_id=466&service_area=1704258,NA,ted-s-power-tool-repair,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1754106,Ted's Power Tool Repair,0,0,0,NA,"Building Supplies and Hardware, Hardware Tool, Cabinet Hardware, Hardware Store, Computer Hardware, Antique Hardware, lumber, roofing material, tools, materials, supplies, shingles, building supplies, building supply stores, building supplies stores,  hardware, home building supplies, wholesale building supplies, contractors building supplies, surplus building supplies, salvage building supplies, lumber stores, wood building supplies, hardware supplies, building supplies wholesale, lumber yard supply, house building supplies, apartment building supplies, builders supplies, building hardware, ,Stanby power generator, standby power generator, ,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1704258,0,466,NA,NA,NA
