Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,completion_percent_cache,bully,secret,replied_to_at_least_one_review_cache,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,claimed_at,latest_approved_review_created_at
https://homestars.com/on/newport-news/patios-decks,10,https://homestars.com/on/newport-news/patios-decks,Decks,2888927,NA,/companies/2888927-mascrore-inc?searched_category_id=412&service_area=2100006,NA,mascrore-inc,2016-07-27T09:26:41.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1951351,Mascrore Inc,1,1,0,10,"Decks, Deck, Wood Deck, Deck Patio Furniture, Patio Heater, Patio Deck, Patio Door, Patio Cover, Patio Umbrella, Patio Furniture Set, Patio Furniture Cushion, the deck, on deck, deck tech, patios, construction plans, how to build a deck, build decks, build a deck, deck plans, design deck, design a deck, deck design, deck building, building a deck, building deck, deck designs, how to make a deck, patio cover, wood deck, deck wood, deck board, patio designs, deck designs plans, deck plans designs, deck builder, deck stain, deck builders, ,",0,FALSE,0,0,0,0,FALSE,1c5c386f1ff03364553e25ac2f9b53b14e4c9d55,TRUE,TRUE,FALSE,2100006,76.3658675484,412,NA,NA,NA,NA
https://homestars.com/on/newport-news/patios-decks,10,https://homestars.com/on/newport-news/patios-decks,Decks,2761953,NA,/companies/2761953-feely-construction-ltd?searched_category_id=412&service_area=1775157," Additions, structural alterations, decks and fences,  Windows and doors, siding soffit facia, and many other",feely-construction-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1825005,Feely Construction Ltd,1,1,5,10,"Decks, Deck, Wood Deck, Deck Patio Furniture, Patio Heater, Patio Deck, Patio Door, Patio Cover, Patio Umbrella, Patio Furniture Set, Patio Furniture Cushion, the deck, on deck, deck tech, patios, construction plans, how to build a deck, build decks, build a deck, deck plans, design deck, design a deck, deck design, deck building, building a deck, building deck, deck designs, how to make a deck, patio cover, wood deck, deck wood, deck board, patio designs, deck designs plans, deck plans designs, deck builder, deck stain, deck builders, ,",0,FALSE,0,0,5,NA,FALSE,1621f253899f8f5ecd8d96a4b3a139bd53d10ea9,FALSE,TRUE,FALSE,1775157,74.6387029768,412,NA,NA,2018-03-20T14:20:58.000-04:00,2016-06-20T19:19:48.000-04:00
https://homestars.com/on/newport-news/patios-decks,10,https://homestars.com/on/newport-news/patios-decks,Decks,318685,,/companies/318685-ralston-decks-and-fences?searched_category_id=412&service_area=24343,"We are an established, insured and reliable company. We have vast expertise in building custom decks and fences. We also have many enivormentally friendly deck options.",ralston-decks-and-fences,2008-01-15T18:19:51.000-05:00,NA,NA,Monday-Friday 8 A.M. - 6P.M. All day Saturday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1626850,Ralston Decks And Fences,1,0,0,NA,"Decks, Deck, Wood Deck, Deck Patio Furniture, Patio Heater, Patio Deck, Patio Door, Patio Cover, Patio Umbrella, Patio Furniture Set, Patio Furniture Cushion, the deck, on deck, deck tech, patios, construction plans, how to build a deck, build decks, build a deck, deck plans, design deck, design a deck, deck design, deck building, building a deck, building deck, deck designs, how to make a deck, patio cover, wood deck, deck wood, deck board, patio designs, deck designs plans, deck plans designs, deck builder, deck stain, deck builders, ,",0,FALSE,0,0,0,NA,FALSE,3d2b7002a2c453c433bec8f6c5e82e250f8f2502,FALSE,FALSE,FALSE,24343,-1.0,412,NA,NA,2008-01-15T18:19:51.000-05:00,NA
https://homestars.com/on/newport-news/patios-decks,10,https://homestars.com/on/newport-news/patios-decks,Decks,2969731,NA,/companies/2969731-elite-decks-and-gazebos?searched_category_id=412&service_area=2283993,NA,elite-decks-and-gazebos,2022-06-22T15:49:05.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,2031642,Elite Decks and Gazebos,0,0,8,NA,"Decks, Deck, Wood Deck, Deck Patio Furniture, Patio Heater, Patio Deck, Patio Door, Patio Cover, Patio Umbrella, Patio Furniture Set, Patio Furniture Cushion, the deck, on deck, deck tech, patios, construction plans, how to build a deck, build decks, build a deck, deck plans, design deck, design a deck, deck design, deck building, building a deck, building deck, deck designs, how to make a deck, patio cover, wood deck, deck wood, deck board, patio designs, deck designs plans, deck plans designs, deck builder, deck stain, deck builders, ,",0,FALSE,0,0,9,0,FALSE,0dfb43b97be57352b907984ea01b010011d939f5,FALSE,FALSE,NA,2283993,-1.0,412,NA,NA,2022-06-22T15:50:44.000-04:00,NA
https://homestars.com/on/newport-news/patios-decks,10,https://homestars.com/on/newport-news/patios-decks,Decks,2948176,NA,/companies/2948176-kramer-and-son-construction?searched_category_id=412&service_area=2235703,Family owned buisness. High quality work. Fair and respectful pricing. Call us for all your needs.,kramer-and-son-construction,2020-09-29T18:59:43.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,2010313,Kramer and Son Construction ,0,0,4,NA,"Decks, Deck, Wood Deck, Deck Patio Furniture, Patio Heater, Patio Deck, Patio Door, Patio Cover, Patio Umbrella, Patio Furniture Set, Patio Furniture Cushion, the deck, on deck, deck tech, patios, construction plans, how to build a deck, build decks, build a deck, deck plans, design deck, design a deck, deck design, deck building, building a deck, building deck, deck designs, how to make a deck, patio cover, wood deck, deck wood, deck board, patio designs, deck designs plans, deck plans designs, deck builder, deck stain, deck builders, ,",0,FALSE,0,0,5,0,FALSE,00f924d8843e91ca9ac867b64e5f3b35557cc63d,FALSE,FALSE,FALSE,2235703,-1.0,412,NA,NA,2020-09-29T19:00:21.000-04:00,NA
https://homestars.com/on/newport-news/patios-decks,10,https://homestars.com/on/newport-news/patios-decks,Decks,2955616,NA,/companies/2955616-mike-s-renovations?searched_category_id=412&service_area=2252048,NA,mike-s-renovations,2021-04-27T12:19:35.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,2017594,Mike's Renovations,0,0,0,NA,"Decks, Deck, Wood Deck, Deck Patio Furniture, Patio Heater, Patio Deck, Patio Door, Patio Cover, Patio Umbrella, Patio Furniture Set, Patio Furniture Cushion, the deck, on deck, deck tech, patios, construction plans, how to build a deck, build decks, build a deck, deck plans, design deck, design a deck, deck design, deck building, building a deck, building deck, deck designs, how to make a deck, patio cover, wood deck, deck wood, deck board, patio designs, deck designs plans, deck plans designs, deck builder, deck stain, deck builders, ,",0,FALSE,0,0,0,0,FALSE,f45041c14fe81acc205b8cbe4cddadafbba8e18b,FALSE,FALSE,FALSE,2252048,-1.0,412,NA,NA,2021-04-27T12:20:26.000-04:00,NA
https://homestars.com/on/newport-news/patios-decks,10,https://homestars.com/on/newport-news/patios-decks,Decks,2620691,NA,/companies/2620691-edmondson-norm-concrete-contractor-inc?searched_category_id=412&service_area=1633895,NA,edmondson-norm-concrete-contractor-inc,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1683743,Edmondson Norm Concrete Contractor Inc,1,1,0,10,"Decks, Deck, Wood Deck, Deck Patio Furniture, Patio Heater, Patio Deck, Patio Door, Patio Cover, Patio Umbrella, Patio Furniture Set, Patio Furniture Cushion, the deck, on deck, deck tech, patios, construction plans, how to build a deck, build decks, build a deck, deck plans, design deck, design a deck, deck design, deck building, building a deck, building deck, deck designs, how to make a deck, patio cover, wood deck, deck wood, deck board, patio designs, deck designs plans, deck plans designs, deck builder, deck stain, deck builders, ,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1633895,67.6245386065,412,NA,NA,NA,2013-02-06T11:11:17.000-05:00
https://homestars.com/on/newport-news/patios-decks,10,https://homestars.com/on/newport-news/patios-decks,Decks,2602599,NA,/companies/2602599-fence-deck-perfection?searched_category_id=412&service_area=1615803,NA,fence-deck-perfection,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1665651,Fence & Deck Perfection,0,0,0,NA,"Decks, Deck, Wood Deck, Deck Patio Furniture, Patio Heater, Patio Deck, Patio Door, Patio Cover, Patio Umbrella, Patio Furniture Set, Patio Furniture Cushion, the deck, on deck, deck tech, patios, construction plans, how to build a deck, build decks, build a deck, deck plans, design deck, design a deck, deck design, deck building, building a deck, building deck, deck designs, how to make a deck, patio cover, wood deck, deck wood, deck board, patio designs, deck designs plans, deck plans designs, deck builder, deck stain, deck builders, ,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1615803,-1.0,412,NA,NA,NA,NA
https://homestars.com/on/newport-news/patios-decks,10,https://homestars.com/on/newport-news/patios-decks,Decks,2580389,NA,/companies/2580389-brier-builders?searched_category_id=412&service_area=1593593,NA,brier-builders,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1643441,Brier Builders,1,0,0,NA,"Decks, Deck, Wood Deck, Deck Patio Furniture, Patio Heater, Patio Deck, Patio Door, Patio Cover, Patio Umbrella, Patio Furniture Set, Patio Furniture Cushion, the deck, on deck, deck tech, patios, construction plans, how to build a deck, build decks, build a deck, deck plans, design deck, design a deck, deck design, deck building, building a deck, building deck, deck designs, how to make a deck, patio cover, wood deck, deck wood, deck board, patio designs, deck designs plans, deck plans designs, deck builder, deck stain, deck builders, ,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1593593,-1.0,412,NA,NA,NA,NA
https://homestars.com/on/newport-news/patios-decks,10,https://homestars.com/on/newport-news/patios-decks,Decks,2599695,NA,/companies/2599695-del-signore-philip-concrete-forming-finishing?searched_category_id=412&service_area=1612899,NA,del-signore-philip-concrete-forming-finishing,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1662747,Del Signore Philip Concrete Forming & Finishing,0,0,0,NA,"Decks, Deck, Wood Deck, Deck Patio Furniture, Patio Heater, Patio Deck, Patio Door, Patio Cover, Patio Umbrella, Patio Furniture Set, Patio Furniture Cushion, the deck, on deck, deck tech, patios, construction plans, how to build a deck, build decks, build a deck, deck plans, design deck, design a deck, deck design, deck building, building a deck, building deck, deck designs, how to make a deck, patio cover, wood deck, deck wood, deck board, patio designs, deck designs plans, deck plans designs, deck builder, deck stain, deck builders, ,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1612899,-1.0,412,NA,NA,NA,NA
