Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,bully,replied_to_at_least_one_review_cache,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,claimed_at
https://homestars.com/on/peterborough/bathroom-kitchen-fixtures-accessories,3,https://homestars.com/on/peterborough/bathroom-kitchen-fixtures-accessories,Bathroom & Kitchen - Fixtures & Accessories,2580615,NA,/companies/2580615-griffin-cabinets-mouldings-ltd?searched_category_id=315&service_area=1593819,NA,griffin-cabinets-mouldings-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1643667,Griffin Cabinets & Mouldings Ltd,0,0,0,NA,"Bathroom & Kitchen - Fixtures & Accessories, bathroom fixtures, kitchen fixtures, kitchen accessories, bathroom accessories, sink, faucet, tub, bathtub, shower, taps, kitchen reno, grouting, cabinet refinishing, custom cabinets, appliances, new appliances, kitchen island, waterfall island,,",0,FALSE,0,0,0,FALSE,FALSE,FALSE,FALSE,1593819,-1.0,315,NA,NA,NA
https://homestars.com/on/peterborough/bathroom-kitchen-fixtures-accessories,3,https://homestars.com/on/peterborough/bathroom-kitchen-fixtures-accessories,Bathroom & Kitchen - Fixtures & Accessories,2593862,NA,/companies/2593862-bath-reflections?searched_category_id=315&service_area=1607066,NA,bath-reflections,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1656914,Bath Reflections,0,0,0,NA,"Bathroom & Kitchen - Fixtures & Accessories, bathroom fixtures, kitchen fixtures, kitchen accessories, bathroom accessories, sink, faucet, tub, bathtub, shower, taps, kitchen reno, grouting, cabinet refinishing, custom cabinets, appliances, new appliances, kitchen island, waterfall island,,",0,FALSE,0,0,0,FALSE,FALSE,FALSE,FALSE,1607066,-1.0,315,NA,NA,NA
https://homestars.com/on/peterborough/bathroom-kitchen-fixtures-accessories,3,https://homestars.com/on/peterborough/bathroom-kitchen-fixtures-accessories,Bathroom & Kitchen - Fixtures & Accessories,2758214,http://www.bathtubking.com,/companies/2758214-bathtub-king-refinishing-peterborough?searched_category_id=315&service_area=1771418,"Bathtubs, sinks and tile refinishing, ready to use in 48 hours",bathtub-king-refinishing-peterborough,2008-03-04T16:55:15.000-05:00,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1821266,Bathtub King Refinishing Peterborough,0,0,0,NA,"Bathroom & Kitchen - Fixtures & Accessories, bathroom fixtures, kitchen fixtures, kitchen accessories, bathroom accessories, sink, faucet, tub, bathtub, shower, taps, kitchen reno, grouting, cabinet refinishing, custom cabinets, appliances, new appliances, kitchen island, waterfall island,,",0,FALSE,0,0,0,FALSE,FALSE,FALSE,FALSE,1771418,-1.0,315,NA,NA,2009-02-23T07:47:26.000-05:00
