Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,completion_percent_cache,bully,secret,replied_to_at_least_one_review_cache,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,latest_approved_review_created_at
https://homestars.com/on/furdale/bathroom-kitchen-fixtures-accessories,17,https://homestars.com/on/furdale/bathroom-kitchen-fixtures-accessories?&page=2&,Bathroom & Kitchen - Fixtures & Accessories,2881776,NA,/companies/2881776-centennial-360?searched_category_id=315&service_area=2075276,"lumbing, heating, furnaces, air conditioning & electrical service; kitchen, bathroom & home renovations; custom homes

Address: 710 51st Street East, Saskatoon, Saskatchewan S7K 4K4

Website: http://centennial360.com

",centennial-360,2016-01-02T06:07:33.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1944200,Centennial 360,0,0,0,NA,"Bathroom & Kitchen - Fixtures & Accessories, bathroom fixtures, kitchen fixtures, kitchen accessories, bathroom accessories, sink, faucet, tub, bathtub, shower, taps, kitchen reno, grouting, cabinet refinishing, custom cabinets, appliances, new appliances, kitchen island, waterfall island,,",0,FALSE,0,0,0,0,FALSE,12ceb7278173fd5ae05854fd0c1c764119a1c103,FALSE,FALSE,FALSE,2075276,-1.0,315,NA,NA,NA
https://homestars.com/on/furdale/bathroom-kitchen-fixtures-accessories,17,https://homestars.com/on/furdale/bathroom-kitchen-fixtures-accessories?&page=2&,Bathroom & Kitchen - Fixtures & Accessories,2770923,NA,/companies/2770923-mr-tub-man?searched_category_id=315&service_area=1784127,NA,mr-tub-man,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1833975,Mr Tub Man,2,2,0,1,"Bathroom & Kitchen - Fixtures & Accessories, bathroom fixtures, kitchen fixtures, kitchen accessories, bathroom accessories, sink, faucet, tub, bathtub, shower, taps, kitchen reno, grouting, cabinet refinishing, custom cabinets, appliances, new appliances, kitchen island, waterfall island,,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1784127,2.3373705154,315,NA,NA,2012-11-23T19:46:22.000-05:00
https://homestars.com/on/furdale/bathroom-kitchen-fixtures-accessories,17,https://homestars.com/on/furdale/bathroom-kitchen-fixtures-accessories?&page=2&,Bathroom & Kitchen - Fixtures & Accessories,2568331,NA,/companies/2568331-beauty-craft-2000?searched_category_id=315&service_area=1581535,NA,beauty-craft-2000,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1631383,Beauty Craft 2000,0,0,0,NA,"Bathroom & Kitchen - Fixtures & Accessories, bathroom fixtures, kitchen fixtures, kitchen accessories, bathroom accessories, sink, faucet, tub, bathtub, shower, taps, kitchen reno, grouting, cabinet refinishing, custom cabinets, appliances, new appliances, kitchen island, waterfall island,,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1581535,0,315,NA,NA,NA
https://homestars.com/on/furdale/bathroom-kitchen-fixtures-accessories,17,https://homestars.com/on/furdale/bathroom-kitchen-fixtures-accessories?&page=2&,Bathroom & Kitchen - Fixtures & Accessories,2570940,NA,/companies/2570940-roman-onyx-marble-international-ltd?searched_category_id=315&service_area=1584144,NA,roman-onyx-marble-international-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1633992,Roman Onyx & Marble International Ltd,0,0,0,NA,"Bathroom & Kitchen - Fixtures & Accessories, bathroom fixtures, kitchen fixtures, kitchen accessories, bathroom accessories, sink, faucet, tub, bathtub, shower, taps, kitchen reno, grouting, cabinet refinishing, custom cabinets, appliances, new appliances, kitchen island, waterfall island,,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1584144,0,315,NA,NA,NA
https://homestars.com/on/furdale/bathroom-kitchen-fixtures-accessories,17,https://homestars.com/on/furdale/bathroom-kitchen-fixtures-accessories?&page=2&,Bathroom & Kitchen - Fixtures & Accessories,2568336,NA,/companies/2568336-counter-tops-distributors-inc?searched_category_id=315&service_area=1581540,NA,counter-tops-distributors-inc,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1631388,Counter Tops Distributors Inc,0,0,0,NA,"Bathroom & Kitchen - Fixtures & Accessories, bathroom fixtures, kitchen fixtures, kitchen accessories, bathroom accessories, sink, faucet, tub, bathtub, shower, taps, kitchen reno, grouting, cabinet refinishing, custom cabinets, appliances, new appliances, kitchen island, waterfall island,,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1581540,0,315,NA,NA,NA
https://homestars.com/on/furdale/bathroom-kitchen-fixtures-accessories,17,https://homestars.com/on/furdale/bathroom-kitchen-fixtures-accessories?&page=2&,Bathroom & Kitchen - Fixtures & Accessories,2568339,NA,/companies/2568339-holinaty-developments-inc?searched_category_id=315&service_area=1581543,NA,holinaty-developments-inc,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1631391,Holinaty Developments Inc,0,0,0,NA,"Bathroom & Kitchen - Fixtures & Accessories, bathroom fixtures, kitchen fixtures, kitchen accessories, bathroom accessories, sink, faucet, tub, bathtub, shower, taps, kitchen reno, grouting, cabinet refinishing, custom cabinets, appliances, new appliances, kitchen island, waterfall island,,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1581543,0,315,NA,NA,NA
https://homestars.com/on/furdale/bathroom-kitchen-fixtures-accessories,17,https://homestars.com/on/furdale/bathroom-kitchen-fixtures-accessories?&page=2&,Bathroom & Kitchen - Fixtures & Accessories,2570941,NA,/companies/2570941-steamworks-club-for-men?searched_category_id=315&service_area=1584145,NA,steamworks-club-for-men,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1633993,Steamworks Club For Men,0,0,0,NA,"Bathroom & Kitchen - Fixtures & Accessories, bathroom fixtures, kitchen fixtures, kitchen accessories, bathroom accessories, sink, faucet, tub, bathtub, shower, taps, kitchen reno, grouting, cabinet refinishing, custom cabinets, appliances, new appliances, kitchen island, waterfall island,,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1584145,0,315,NA,NA,NA
https://homestars.com/on/furdale/bathroom-kitchen-fixtures-accessories,17,https://homestars.com/on/furdale/bathroom-kitchen-fixtures-accessories?&page=2&,Bathroom & Kitchen - Fixtures & Accessories,2621251,NA,/companies/2621251-wolseley-mechanical?searched_category_id=315&service_area=1634455,NA,wolseley-mechanical,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1684303,Wolseley Mechanical,0,0,0,NA,"Bathroom & Kitchen - Fixtures & Accessories, bathroom fixtures, kitchen fixtures, kitchen accessories, bathroom accessories, sink, faucet, tub, bathtub, shower, taps, kitchen reno, grouting, cabinet refinishing, custom cabinets, appliances, new appliances, kitchen island, waterfall island,,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1634455,0,315,NA,NA,NA
https://homestars.com/on/furdale/bathroom-kitchen-fixtures-accessories,17,https://homestars.com/on/furdale/bathroom-kitchen-fixtures-accessories?&page=2&,Bathroom & Kitchen - Fixtures & Accessories,2568337,NA,/companies/2568337-custom-marble-products-ltd?searched_category_id=315&service_area=1581541,NA,custom-marble-products-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1631389,Custom Marble Products Ltd,0,0,0,NA,"Bathroom & Kitchen - Fixtures & Accessories, bathroom fixtures, kitchen fixtures, kitchen accessories, bathroom accessories, sink, faucet, tub, bathtub, shower, taps, kitchen reno, grouting, cabinet refinishing, custom cabinets, appliances, new appliances, kitchen island, waterfall island,,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1581541,0,315,NA,NA,NA
https://homestars.com/on/furdale/bathroom-kitchen-fixtures-accessories,17,https://homestars.com/on/furdale/bathroom-kitchen-fixtures-accessories?&page=2&,Bathroom & Kitchen - Fixtures & Accessories,2770488,NA,/companies/2770488-prairie-land-interiors?searched_category_id=315&service_area=1783692,NA,prairie-land-interiors,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1833540,Prairie Land Interiors,0,0,0,NA,"Bathroom & Kitchen - Fixtures & Accessories, bathroom fixtures, kitchen fixtures, kitchen accessories, bathroom accessories, sink, faucet, tub, bathtub, shower, taps, kitchen reno, grouting, cabinet refinishing, custom cabinets, appliances, new appliances, kitchen island, waterfall island,,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1783692,0,315,NA,NA,NA
