Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,bully,secret,replied_to_at_least_one_review_cache,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,claimed_at,latest_approved_review_created_at
https://homestars.com/on/richibucto%20road/interior-decorators,24,"c(""https://homestars.com/on/richibucto%20road/interior-decorators?&page=2&"", ""https://homestars.com/on/richibucto%20road/interior-decorators?&page=3&"")",Interior Decorators,2798628,NA,/companies/2798628-my-news?searched_category_id=389&service_area=1862393,NA,my-news,2012-06-12T01:26:42.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1861680,My News,0,0,0,NA,"Interior Decorators, Home Decorators, Holiday Decorators, decorating, what is interior design, about interior design, house designs, interiors, designer interior, interior designer, house design, decorating ideas, interiordesign, designers interior, interior designers, la interior designers, decoration interior, interior decoration, room design, design a room, kitchen cabinets, interior decoration design, interior design decoration, interior design and decoration, interior decoration and design, decorating interior, what is interior decorating, about interior decorating, interior decorating, decorator, decorators, house decor, home furnishings, in home furnishings, decoration ideas, house decorating, home decorating, kitchen design, interior decorating design, interior design and decorating, interior decorating and design, home furnishings, interior home, home interior, home accessories, house interior, interior decorator, interior decorator in, and interior decorator, decorator interior, ,",0,FALSE,0,0,0,FALSE,ecb5ac4a16eea97892db0b222fdcdba0efc2da86,FALSE,FALSE,FALSE,1862393,0,389,NA,NA,NA,NA
https://homestars.com/on/richibucto%20road/interior-decorators,24,"c(""https://homestars.com/on/richibucto%20road/interior-decorators?&page=2&"", ""https://homestars.com/on/richibucto%20road/interior-decorators?&page=3&"")",Interior Decorators,2696191,NA,/companies/2696191-york-sunbury-historical-society-museum?searched_category_id=389&service_area=1709395,"The York Sunbury Museum is a gateway into the exciting history & heritage of central New Brunswick.  Because central New Brunswick is where the provincial capital is located, & it served as a meeting place for Aboriginals, Loyalists & Acadian, the York Sunbury Museum is an excellent place to start.",york-sunbury-historical-society-museum,2008-03-04T16:55:15.000-05:00,NA,,seasonal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1759243,York Sunbury Historical Society Museum,0,0,5,NA,"Interior Decorators, Home Decorators, Holiday Decorators, decorating, what is interior design, about interior design, house designs, interiors, designer interior, interior designer, house design, decorating ideas, interiordesign, designers interior, interior designers, la interior designers, decoration interior, interior decoration, room design, design a room, kitchen cabinets, interior decoration design, interior design decoration, interior design and decoration, interior decoration and design, decorating interior, what is interior decorating, about interior decorating, interior decorating, decorator, decorators, house decor, home furnishings, in home furnishings, decoration ideas, house decorating, home decorating, kitchen design, interior decorating design, interior design and decorating, interior decorating and design, home furnishings, interior home, home interior, home accessories, house interior, interior decorator, interior decorator in, and interior decorator, decorator interior, ,",0,FALSE,0,0,0,FALSE,85ffa5e805810641fc97b529c031c1c94b002505,FALSE,FALSE,FALSE,1709395,0,389,NA,NA,2010-11-05T19:56:29.000-04:00,NA
https://homestars.com/on/richibucto%20road/interior-decorators,24,"c(""https://homestars.com/on/richibucto%20road/interior-decorators?&page=2&"", ""https://homestars.com/on/richibucto%20road/interior-decorators?&page=3&"")",Interior Decorators,2651709,NA,/companies/2651709-ingrid-mueller-art-concepts?searched_category_id=389&service_area=1664913,NA,ingrid-mueller-art-concepts,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1714761,Ingrid Mueller Art & Concepts,1,1,0,10,"Interior Decorators, Home Decorators, Holiday Decorators, decorating, what is interior design, about interior design, house designs, interiors, designer interior, interior designer, house design, decorating ideas, interiordesign, designers interior, interior designers, la interior designers, decoration interior, interior decoration, room design, design a room, kitchen cabinets, interior decoration design, interior design decoration, interior design and decoration, interior decoration and design, decorating interior, what is interior decorating, about interior decorating, interior decorating, decorator, decorators, house decor, home furnishings, in home furnishings, decoration ideas, house decorating, home decorating, kitchen design, interior decorating design, interior design and decorating, interior decorating and design, home furnishings, interior home, home interior, home accessories, house interior, interior decorator, interior decorator in, and interior decorator, decorator interior, ,",0,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1664913,32.2077098059,389,NA,NA,NA,2012-01-09T11:08:21.000-05:00
https://homestars.com/on/richibucto%20road/interior-decorators,24,"c(""https://homestars.com/on/richibucto%20road/interior-decorators?&page=2&"", ""https://homestars.com/on/richibucto%20road/interior-decorators?&page=3&"")",Interior Decorators,2618292,NA,/companies/2618292-bates-custom-laminating-ltd?searched_category_id=389&service_area=1631496,NA,bates-custom-laminating-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1681344,Bates Custom Laminating Ltd,0,0,0,NA,"Interior Decorators, Home Decorators, Holiday Decorators, decorating, what is interior design, about interior design, house designs, interiors, designer interior, interior designer, house design, decorating ideas, interiordesign, designers interior, interior designers, la interior designers, decoration interior, interior decoration, room design, design a room, kitchen cabinets, interior decoration design, interior design decoration, interior design and decoration, interior decoration and design, decorating interior, what is interior decorating, about interior decorating, interior decorating, decorator, decorators, house decor, home furnishings, in home furnishings, decoration ideas, house decorating, home decorating, kitchen design, interior decorating design, interior design and decorating, interior decorating and design, home furnishings, interior home, home interior, home accessories, house interior, interior decorator, interior decorator in, and interior decorator, decorator interior, ,",0,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1631496,0,389,NA,NA,NA,NA
https://homestars.com/on/richibucto%20road/interior-decorators,24,"c(""https://homestars.com/on/richibucto%20road/interior-decorators?&page=2&"", ""https://homestars.com/on/richibucto%20road/interior-decorators?&page=3&"")",Interior Decorators,2637623,NA,/companies/2637623-gallery-78-fine-art?searched_category_id=389&service_area=1650827,NA,gallery-78-fine-art,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1700675,Gallery 78 Fine Art,0,0,0,NA,"Interior Decorators, Home Decorators, Holiday Decorators, decorating, what is interior design, about interior design, house designs, interiors, designer interior, interior designer, house design, decorating ideas, interiordesign, designers interior, interior designers, la interior designers, decoration interior, interior decoration, room design, design a room, kitchen cabinets, interior decoration design, interior design decoration, interior design and decoration, interior decoration and design, decorating interior, what is interior decorating, about interior decorating, interior decorating, decorator, decorators, house decor, home furnishings, in home furnishings, decoration ideas, house decorating, home decorating, kitchen design, interior decorating design, interior design and decorating, interior decorating and design, home furnishings, interior home, home interior, home accessories, house interior, interior decorator, interior decorator in, and interior decorator, decorator interior, ,",0,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1650827,0,389,NA,NA,NA,NA
https://homestars.com/on/richibucto%20road/interior-decorators,24,"c(""https://homestars.com/on/richibucto%20road/interior-decorators?&page=2&"", ""https://homestars.com/on/richibucto%20road/interior-decorators?&page=3&"")",Interior Decorators,2599981,NA,/companies/2599981-joy-of-framing?searched_category_id=389&service_area=1613185,NA,joy-of-framing,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1663033,Joy Of Framing,0,0,0,NA,"Interior Decorators, Home Decorators, Holiday Decorators, decorating, what is interior design, about interior design, house designs, interiors, designer interior, interior designer, house design, decorating ideas, interiordesign, designers interior, interior designers, la interior designers, decoration interior, interior decoration, room design, design a room, kitchen cabinets, interior decoration design, interior design decoration, interior design and decoration, interior decoration and design, decorating interior, what is interior decorating, about interior decorating, interior decorating, decorator, decorators, house decor, home furnishings, in home furnishings, decoration ideas, house decorating, home decorating, kitchen design, interior decorating design, interior design and decorating, interior decorating and design, home furnishings, interior home, home interior, home accessories, house interior, interior decorator, interior decorator in, and interior decorator, decorator interior, ,",0,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1613185,0,389,NA,NA,NA,NA
https://homestars.com/on/richibucto%20road/interior-decorators,24,"c(""https://homestars.com/on/richibucto%20road/interior-decorators?&page=2&"", ""https://homestars.com/on/richibucto%20road/interior-decorators?&page=3&"")",Interior Decorators,2627727,NA,/companies/2627727-discount-framing-crafts?searched_category_id=389&service_area=1640931,NA,discount-framing-crafts,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1690779,Discount Framing & Crafts,0,0,0,NA,"Interior Decorators, Home Decorators, Holiday Decorators, decorating, what is interior design, about interior design, house designs, interiors, designer interior, interior designer, house design, decorating ideas, interiordesign, designers interior, interior designers, la interior designers, decoration interior, interior decoration, room design, design a room, kitchen cabinets, interior decoration design, interior design decoration, interior design and decoration, interior decoration and design, decorating interior, what is interior decorating, about interior decorating, interior decorating, decorator, decorators, house decor, home furnishings, in home furnishings, decoration ideas, house decorating, home decorating, kitchen design, interior decorating design, interior design and decorating, interior decorating and design, home furnishings, interior home, home interior, home accessories, house interior, interior decorator, interior decorator in, and interior decorator, decorator interior, ,",0,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1640931,0,389,NA,NA,NA,NA
https://homestars.com/on/richibucto%20road/interior-decorators,24,"c(""https://homestars.com/on/richibucto%20road/interior-decorators?&page=2&"", ""https://homestars.com/on/richibucto%20road/interior-decorators?&page=3&"")",Interior Decorators,2680356,NA,/companies/2680356-o-donnell-planning-interiors-inc?searched_category_id=389&service_area=1693560,NA,o-donnell-planning-interiors-inc,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1743408,O'Donnell Planning & Interiors Inc,0,0,0,NA,"Interior Decorators, Home Decorators, Holiday Decorators, decorating, what is interior design, about interior design, house designs, interiors, designer interior, interior designer, house design, decorating ideas, interiordesign, designers interior, interior designers, la interior designers, decoration interior, interior decoration, room design, design a room, kitchen cabinets, interior decoration design, interior design decoration, interior design and decoration, interior decoration and design, decorating interior, what is interior decorating, about interior decorating, interior decorating, decorator, decorators, house decor, home furnishings, in home furnishings, decoration ideas, house decorating, home decorating, kitchen design, interior decorating design, interior design and decorating, interior decorating and design, home furnishings, interior home, home interior, home accessories, house interior, interior decorator, interior decorator in, and interior decorator, decorator interior, ,",0,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1693560,0,389,NA,NA,NA,NA
https://homestars.com/on/richibucto%20road/interior-decorators,24,"c(""https://homestars.com/on/richibucto%20road/interior-decorators?&page=2&"", ""https://homestars.com/on/richibucto%20road/interior-decorators?&page=3&"")",Interior Decorators,2697910,NA,/companies/2697910-science-east?searched_category_id=389&service_area=1711114,NA,science-east,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1760962,Science East,0,0,0,NA,"Interior Decorators, Home Decorators, Holiday Decorators, decorating, what is interior design, about interior design, house designs, interiors, designer interior, interior designer, house design, decorating ideas, interiordesign, designers interior, interior designers, la interior designers, decoration interior, interior decoration, room design, design a room, kitchen cabinets, interior decoration design, interior design decoration, interior design and decoration, interior decoration and design, decorating interior, what is interior decorating, about interior decorating, interior decorating, decorator, decorators, house decor, home furnishings, in home furnishings, decoration ideas, house decorating, home decorating, kitchen design, interior decorating design, interior design and decorating, interior decorating and design, home furnishings, interior home, home interior, home accessories, house interior, interior decorator, interior decorator in, and interior decorator, decorator interior, ,",0,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1711114,0,389,NA,NA,NA,NA
https://homestars.com/on/richibucto%20road/interior-decorators,24,"c(""https://homestars.com/on/richibucto%20road/interior-decorators?&page=2&"", ""https://homestars.com/on/richibucto%20road/interior-decorators?&page=3&"")",Interior Decorators,2598232,NA,/companies/2598232-print-gallery-2003?searched_category_id=389&service_area=1611436,NA,print-gallery-2003,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1661284,Print Gallery 2003,0,0,0,NA,"Interior Decorators, Home Decorators, Holiday Decorators, decorating, what is interior design, about interior design, house designs, interiors, designer interior, interior designer, house design, decorating ideas, interiordesign, designers interior, interior designers, la interior designers, decoration interior, interior decoration, room design, design a room, kitchen cabinets, interior decoration design, interior design decoration, interior design and decoration, interior decoration and design, decorating interior, what is interior decorating, about interior decorating, interior decorating, decorator, decorators, house decor, home furnishings, in home furnishings, decoration ideas, house decorating, home decorating, kitchen design, interior decorating design, interior design and decorating, interior decorating and design, home furnishings, interior home, home interior, home accessories, house interior, interior decorator, interior decorator in, and interior decorator, decorator interior, ,",0,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1611436,-1.0,389,NA,NA,NA,NA
