Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,bully,secret,replied_to_at_least_one_review_cache,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,claimed_at
https://homestars.com/on/ridgeway/building-supplies-and-hardware,28,"c(""https://homestars.com/on/ridgeway/building-supplies-and-hardware?&page=2&"", ""https://homestars.com/on/ridgeway/building-supplies-and-hardware?&page=3&"")",Building Supplies and Hardware,2790162,NA,/companies/2790162-bridgeburg-building-centre-operating-as-fort-erie?searched_category_id=466&service_area=1849281,NA,bridgeburg-building-centre-operating-as-fort-erie,2011-08-24T13:36:01.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1853214,Bridgeburg Building Centre (Operating As Fort Erie,0,0,0,NA,"Building Supplies and Hardware, Hardware Tool, Cabinet Hardware, Hardware Store, Computer Hardware, Antique Hardware, lumber, roofing material, tools, materials, supplies, shingles, building supplies, building supply stores, building supplies stores,  hardware, home building supplies, wholesale building supplies, contractors building supplies, surplus building supplies, salvage building supplies, lumber stores, wood building supplies, hardware supplies, building supplies wholesale, lumber yard supply, house building supplies, apartment building supplies, builders supplies, building hardware, ,Stanby power generator, standby power generator, ,",0,FALSE,0,0,0,FALSE,37316d4266abba834db93db42d071875763fa0b0,FALSE,FALSE,FALSE,1849281,0,466,NA,NA,NA
https://homestars.com/on/ridgeway/building-supplies-and-hardware,28,"c(""https://homestars.com/on/ridgeway/building-supplies-and-hardware?&page=2&"", ""https://homestars.com/on/ridgeway/building-supplies-and-hardware?&page=3&"")",Building Supplies and Hardware,2790060,NA,/companies/2790060-bridgeburg-building-centre-operating-as-fort-erie?searched_category_id=466&service_area=1849141,NA,bridgeburg-building-centre-operating-as-fort-erie,2011-08-23T13:17:00.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1853112,Bridgeburg Building Centre (Operating As Fort Erie,0,0,0,NA,"Building Supplies and Hardware, Hardware Tool, Cabinet Hardware, Hardware Store, Computer Hardware, Antique Hardware, lumber, roofing material, tools, materials, supplies, shingles, building supplies, building supply stores, building supplies stores,  hardware, home building supplies, wholesale building supplies, contractors building supplies, surplus building supplies, salvage building supplies, lumber stores, wood building supplies, hardware supplies, building supplies wholesale, lumber yard supply, house building supplies, apartment building supplies, builders supplies, building hardware, ,Stanby power generator, standby power generator, ,",0,FALSE,0,0,0,FALSE,f26640afc50e9bf9593ac1d1f0bdbf191067aa89,FALSE,FALSE,FALSE,1849141,0,466,NA,NA,2011-08-23T13:17:02.000-04:00
https://homestars.com/on/ridgeway/building-supplies-and-hardware,28,"c(""https://homestars.com/on/ridgeway/building-supplies-and-hardware?&page=2&"", ""https://homestars.com/on/ridgeway/building-supplies-and-hardware?&page=3&"")",Building Supplies and Hardware,2404578,NA,/companies/2404578-metco-strip-incorporated?searched_category_id=466&service_area=1417793,NA,metco-strip-incorporated,2008-01-10T19:00:00.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1467521,Metco Strip Incorporated,0,0,0,NA,"Building Supplies and Hardware, Hardware Tool, Cabinet Hardware, Hardware Store, Computer Hardware, Antique Hardware, lumber, roofing material, tools, materials, supplies, shingles, building supplies, building supply stores, building supplies stores,  hardware, home building supplies, wholesale building supplies, contractors building supplies, surplus building supplies, salvage building supplies, lumber stores, wood building supplies, hardware supplies, building supplies wholesale, lumber yard supply, house building supplies, apartment building supplies, builders supplies, building hardware, ,Stanby power generator, standby power generator, ,",0,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1417793,0,466,NA,NA,NA
https://homestars.com/on/ridgeway/building-supplies-and-hardware,28,"c(""https://homestars.com/on/ridgeway/building-supplies-and-hardware?&page=2&"", ""https://homestars.com/on/ridgeway/building-supplies-and-hardware?&page=3&"")",Building Supplies and Hardware,2412358,NA,/companies/2412358-mooney-process-equipt-company?searched_category_id=466&service_area=1425573,NA,mooney-process-equipt-company,2008-01-10T19:00:00.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1475301,Mooney Process Equipt Company,0,0,0,NA,"Building Supplies and Hardware, Hardware Tool, Cabinet Hardware, Hardware Store, Computer Hardware, Antique Hardware, lumber, roofing material, tools, materials, supplies, shingles, building supplies, building supply stores, building supplies stores,  hardware, home building supplies, wholesale building supplies, contractors building supplies, surplus building supplies, salvage building supplies, lumber stores, wood building supplies, hardware supplies, building supplies wholesale, lumber yard supply, house building supplies, apartment building supplies, builders supplies, building hardware, ,Stanby power generator, standby power generator, ,",0,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1425573,0,466,NA,NA,NA
https://homestars.com/on/ridgeway/building-supplies-and-hardware,28,"c(""https://homestars.com/on/ridgeway/building-supplies-and-hardware?&page=2&"", ""https://homestars.com/on/ridgeway/building-supplies-and-hardware?&page=3&"")",Building Supplies and Hardware,2420918,NA,/companies/2420918-north-state-supply-company-incorporated?searched_category_id=466&service_area=1434133,NA,north-state-supply-company-incorporated,2008-01-10T19:00:00.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1483861,North State Supply Company Incorporated,0,0,0,NA,"Building Supplies and Hardware, Hardware Tool, Cabinet Hardware, Hardware Store, Computer Hardware, Antique Hardware, lumber, roofing material, tools, materials, supplies, shingles, building supplies, building supply stores, building supplies stores,  hardware, home building supplies, wholesale building supplies, contractors building supplies, surplus building supplies, salvage building supplies, lumber stores, wood building supplies, hardware supplies, building supplies wholesale, lumber yard supply, house building supplies, apartment building supplies, builders supplies, building hardware, ,Stanby power generator, standby power generator, ,",0,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1434133,0,466,NA,NA,NA
https://homestars.com/on/ridgeway/building-supplies-and-hardware,28,"c(""https://homestars.com/on/ridgeway/building-supplies-and-hardware?&page=2&"", ""https://homestars.com/on/ridgeway/building-supplies-and-hardware?&page=3&"")",Building Supplies and Hardware,2621736,NA,/companies/2621736-crescent-home-hardware?searched_category_id=466&service_area=1634940,NA,crescent-home-hardware,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1684788,Crescent Home Hardware,0,0,0,NA,"Building Supplies and Hardware, Hardware Tool, Cabinet Hardware, Hardware Store, Computer Hardware, Antique Hardware, lumber, roofing material, tools, materials, supplies, shingles, building supplies, building supply stores, building supplies stores,  hardware, home building supplies, wholesale building supplies, contractors building supplies, surplus building supplies, salvage building supplies, lumber stores, wood building supplies, hardware supplies, building supplies wholesale, lumber yard supply, house building supplies, apartment building supplies, builders supplies, building hardware, ,Stanby power generator, standby power generator, ,",0,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1634940,-1.0,466,NA,NA,NA
https://homestars.com/on/ridgeway/building-supplies-and-hardware,28,"c(""https://homestars.com/on/ridgeway/building-supplies-and-hardware?&page=2&"", ""https://homestars.com/on/ridgeway/building-supplies-and-hardware?&page=3&"")",Building Supplies and Hardware,1981986,NA,/companies/1981986-bruening-bearings-incorporated?searched_category_id=466&service_area=1006409,NA,bruening-bearings-incorporated,2008-01-11T06:43:06.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1044606,Bruening Bearings Incorporated,0,0,0,NA,"Building Supplies and Hardware, Hardware Tool, Cabinet Hardware, Hardware Store, Computer Hardware, Antique Hardware, lumber, roofing material, tools, materials, supplies, shingles, building supplies, building supply stores, building supplies stores,  hardware, home building supplies, wholesale building supplies, contractors building supplies, surplus building supplies, salvage building supplies, lumber stores, wood building supplies, hardware supplies, building supplies wholesale, lumber yard supply, house building supplies, apartment building supplies, builders supplies, building hardware, ,Stanby power generator, standby power generator, ,",0,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1006409,0,466,NA,NA,NA
https://homestars.com/on/ridgeway/building-supplies-and-hardware,28,"c(""https://homestars.com/on/ridgeway/building-supplies-and-hardware?&page=2&"", ""https://homestars.com/on/ridgeway/building-supplies-and-hardware?&page=3&"")",Building Supplies and Hardware,2404174,NA,/companies/2404174-metal-supermarkets?searched_category_id=466&service_area=1417389,NA,metal-supermarkets,2008-01-10T19:00:00.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1467117,Metal Supermarkets,0,0,0,NA,"Building Supplies and Hardware, Hardware Tool, Cabinet Hardware, Hardware Store, Computer Hardware, Antique Hardware, lumber, roofing material, tools, materials, supplies, shingles, building supplies, building supply stores, building supplies stores,  hardware, home building supplies, wholesale building supplies, contractors building supplies, surplus building supplies, salvage building supplies, lumber stores, wood building supplies, hardware supplies, building supplies wholesale, lumber yard supply, house building supplies, apartment building supplies, builders supplies, building hardware, ,Stanby power generator, standby power generator, ,",0,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1417389,0,466,NA,NA,NA
https://homestars.com/on/ridgeway/building-supplies-and-hardware,28,"c(""https://homestars.com/on/ridgeway/building-supplies-and-hardware?&page=2&"", ""https://homestars.com/on/ridgeway/building-supplies-and-hardware?&page=3&"")",Building Supplies and Hardware,2379547,NA,/companies/2379547-lifco-hydraulic-incorporated?searched_category_id=466&service_area=1392762,NA,lifco-hydraulic-incorporated,2008-01-10T19:00:00.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1442490,Lifco Hydraulic Incorporated,0,0,0,NA,"Building Supplies and Hardware, Hardware Tool, Cabinet Hardware, Hardware Store, Computer Hardware, Antique Hardware, lumber, roofing material, tools, materials, supplies, shingles, building supplies, building supply stores, building supplies stores,  hardware, home building supplies, wholesale building supplies, contractors building supplies, surplus building supplies, salvage building supplies, lumber stores, wood building supplies, hardware supplies, building supplies wholesale, lumber yard supply, house building supplies, apartment building supplies, builders supplies, building hardware, ,Stanby power generator, standby power generator, ,",0,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1392762,0,466,NA,NA,NA
https://homestars.com/on/ridgeway/building-supplies-and-hardware,28,"c(""https://homestars.com/on/ridgeway/building-supplies-and-hardware?&page=2&"", ""https://homestars.com/on/ridgeway/building-supplies-and-hardware?&page=3&"")",Building Supplies and Hardware,2381979,NA,/companies/2381979-leed-steel-company?searched_category_id=466&service_area=1395194,NA,leed-steel-company,2008-01-10T19:00:00.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1444922,Leed Steel Company,0,0,0,NA,"Building Supplies and Hardware, Hardware Tool, Cabinet Hardware, Hardware Store, Computer Hardware, Antique Hardware, lumber, roofing material, tools, materials, supplies, shingles, building supplies, building supply stores, building supplies stores,  hardware, home building supplies, wholesale building supplies, contractors building supplies, surplus building supplies, salvage building supplies, lumber stores, wood building supplies, hardware supplies, building supplies wholesale, lumber yard supply, house building supplies, apartment building supplies, builders supplies, building hardware, ,Stanby power generator, standby power generator, ,",0,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1395194,0,466,NA,NA,NA
