Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,bully,secret,replied_to_at_least_one_review_cache,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact
https://homestars.com/on/mcdougall/builders,19,https://homestars.com/on/mcdougall/builders?&page=2&,Builders,2784919,NA,/companies/2784919-haskim-home-builders?searched_category_id=321&service_area=1841419,NA,haskim-home-builders,2011-02-28T11:10:13.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1847971,Haskim Home Builders,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,FALSE,0,0,0,FALSE,f08dcaac0a909db291387bf2bb1f366072bbe8ec,FALSE,FALSE,FALSE,1841419,0,321,NA,NA
https://homestars.com/on/mcdougall/builders,19,https://homestars.com/on/mcdougall/builders?&page=2&,Builders,2615308,NA,/companies/2615308-four-seasons-log-homes?searched_category_id=321&service_area=1628512,NA,four-seasons-log-homes,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1678360,Four Seasons Log Homes,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1628512,0,321,NA,NA
https://homestars.com/on/mcdougall/builders,19,https://homestars.com/on/mcdougall/builders?&page=2&,Builders,2738825,NA,/companies/2738825-mcvey-building-co?searched_category_id=321&service_area=1752029,NA,mcvey-building-co,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1801877,McVey Building Co,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1752029,0,321,NA,NA
https://homestars.com/on/mcdougall/builders,19,https://homestars.com/on/mcdougall/builders?&page=2&,Builders,2762632,NA,/companies/2762632-weber-engineered-construction-ltd?searched_category_id=321&service_area=1775836,NA,weber-engineered-construction-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1825684,Weber Engineered Construction Ltd,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1775836,0,321,NA,NA
https://homestars.com/on/mcdougall/builders,19,https://homestars.com/on/mcdougall/builders?&page=2&,Builders,2766445,NA,/companies/2766445-burns-sons?searched_category_id=321&service_area=1779649,NA,burns-sons,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1829497,Burns & Sons,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1779649,0,321,NA,NA
https://homestars.com/on/mcdougall/builders,19,https://homestars.com/on/mcdougall/builders?&page=2&,Builders,2765603,NA,/companies/2765603-springhaven-services?searched_category_id=321&service_area=1778807,NA,springhaven-services,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1828655,Springhaven Services,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1778807,0,321,NA,NA
https://homestars.com/on/mcdougall/builders,19,https://homestars.com/on/mcdougall/builders?&page=2&,Builders,2673674,NA,/companies/2673674-hannon-home-construction?searched_category_id=321&service_area=1686878,NA,hannon-home-construction,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1736726,Hannon Home Construction,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1686878,0,321,NA,NA
https://homestars.com/on/mcdougall/builders,19,https://homestars.com/on/mcdougall/builders?&page=2&,Builders,2757486,NA,/companies/2757486-cardinal-custom-contracting?searched_category_id=321&service_area=1770690,NA,cardinal-custom-contracting,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1820538,Cardinal Custom Contracting,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1770690,0,321,NA,NA
https://homestars.com/on/mcdougall/builders,19,https://homestars.com/on/mcdougall/builders?&page=2&,Builders,2711598,NA,/companies/2711598-bowman-custom-building-ltd?searched_category_id=321&service_area=1724802,NA,bowman-custom-building-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1774650,Bowman Custom Building Ltd,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1724802,0,321,NA,NA
https://homestars.com/on/mcdougall/builders,19,https://homestars.com/on/mcdougall/builders?&page=2&,Builders,2747105,NA,/companies/2747105-modulex-homes?searched_category_id=321&service_area=1760309,NA,modulex-homes,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1810157,Modulex Homes,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1760309,0,321,NA,NA
