Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,completion_percent_cache,bully,replied_to_at_least_one_review_cache,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact
https://homestars.com/on/innerkip/fire-water-damage-restoration,3,https://homestars.com/on/innerkip/fire-water-damage-restoration,Fire & Water Damage Restoration,2956077,NA,/companies/2956077-ontario-steam-clean-restoration-group-inc?searched_category_id=355&service_area=2253070,NA,ontario-steam-clean-restoration-group-inc,2021-05-07T20:16:35.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,2018055,Ontario steam clean & restoration group inc.,0,0,0,NA,"Fire & Water Damage Restoration, Fire Damage Repair, Fire Damage Cleanup, Fire Damage Cleaning, Mold And Water Damage, Ceiling Water Damage, Carpet Water Damage, Cleaning Water Damage, mould and water damage, leak flood, carpet cleaning, carpet cleaners, water damage from, damage water, water damage, damage from water, water damage in, water damage repair, waterdamage, water removal, mildew removal, restoration damage, damage restoration, water damage repair, repair water damage, fire repair, damage flood, flood damage, water damage & restoration, water damage restoration, damage restoration water, water restoration damage, restoration water damage, water extraction, ,",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE,2253070,-1.0,355,NA,NA
https://homestars.com/on/innerkip/fire-water-damage-restoration,3,https://homestars.com/on/innerkip/fire-water-damage-restoration,Fire & Water Damage Restoration,2579024,NA,/companies/2579024-first-general-services-oxford?searched_category_id=355&service_area=1592228,NA,first-general-services-oxford,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1642076,First General Services Oxford,0,0,0,NA,"Fire & Water Damage Restoration, Fire Damage Repair, Fire Damage Cleanup, Fire Damage Cleaning, Mold And Water Damage, Ceiling Water Damage, Carpet Water Damage, Cleaning Water Damage, mould and water damage, leak flood, carpet cleaning, carpet cleaners, water damage from, damage water, water damage, damage from water, water damage in, water damage repair, waterdamage, water removal, mildew removal, restoration damage, damage restoration, water damage repair, repair water damage, fire repair, damage flood, flood damage, water damage & restoration, water damage restoration, damage restoration water, water restoration damage, restoration water damage, water extraction, ,",0,FALSE,0,0,0,NA,FALSE,FALSE,FALSE,FALSE,1592228,-1.0,355,NA,NA
https://homestars.com/on/innerkip/fire-water-damage-restoration,3,https://homestars.com/on/innerkip/fire-water-damage-restoration,Fire & Water Damage Restoration,2595910,NA,/companies/2595910-a-p-hurley-emergency-services-inc?searched_category_id=355&service_area=1609114,NA,a-p-hurley-emergency-services-inc,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1658962,A.P. Hurley Emergency Services Inc.,0,0,0,NA,"Fire & Water Damage Restoration, Fire Damage Repair, Fire Damage Cleanup, Fire Damage Cleaning, Mold And Water Damage, Ceiling Water Damage, Carpet Water Damage, Cleaning Water Damage, mould and water damage, leak flood, carpet cleaning, carpet cleaners, water damage from, damage water, water damage, damage from water, water damage in, water damage repair, waterdamage, water removal, mildew removal, restoration damage, damage restoration, water damage repair, repair water damage, fire repair, damage flood, flood damage, water damage & restoration, water damage restoration, damage restoration water, water restoration damage, restoration water damage, water extraction, ,",0,FALSE,0,0,0,NA,FALSE,FALSE,FALSE,FALSE,1609114,-1.0,355,NA,NA
