Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,completion_percent_cache,bully,replied_to_at_least_one_review_cache,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,latest_approved_review_created_at
https://homestars.com/on/chilliwack/appliance-repair,14,https://homestars.com/on/chilliwack/appliance-repair?&page=2&,Appliance Repair,2913185,NA,/companies/2913185-chilliwack-appliance?searched_category_id=306&service_area=2157104,NA,chilliwack-appliance,2018-03-27T12:34:36.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1975369,Chilliwack Appliance,2,2,0,10,"Appliance Repair, Appliance Repair Service, Appliance Repair Parts, Appliance Repair Manuals, Fridge Repair, Stove Repair, Oven Repair, Washer Repair, Dryer Repair, Microwave Repair, appliance repair, appliance parts, refrigerator repair, refrigerator parts, dishwasher repair, dishwasher parts, washing machine repair, washing machine parts, washer parts, dryer parts, dryer repair, stove repair, stove parts, water heater repair, appliance parts and repair, appliance parts, appliance installation, wrench, ,",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE,2157104,72.6373835661,306,NA,NA,NA
https://homestars.com/on/chilliwack/appliance-repair,14,https://homestars.com/on/chilliwack/appliance-repair?&page=2&,Appliance Repair,2805673,NA,/companies/2805673-glacier-air-refrigeration?searched_category_id=306&service_area=1872884,NA,glacier-air-refrigeration,2013-02-06T17:14:13.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1868673,Glacier Air & Refrigeration,1,1,0,0,"Appliance Repair, Appliance Repair Service, Appliance Repair Parts, Appliance Repair Manuals, Fridge Repair, Stove Repair, Oven Repair, Washer Repair, Dryer Repair, Microwave Repair, appliance repair, appliance parts, refrigerator repair, refrigerator parts, dishwasher repair, dishwasher parts, washing machine repair, washing machine parts, washer parts, dryer parts, dryer repair, stove repair, stove parts, water heater repair, appliance parts and repair, appliance parts, appliance installation, wrench, ,",0,FALSE,0,0,0,NA,FALSE,FALSE,FALSE,FALSE,1872884,0.0,306,NA,NA,2013-02-06T17:17:35.000-05:00
https://homestars.com/on/chilliwack/appliance-repair,14,https://homestars.com/on/chilliwack/appliance-repair?&page=2&,Appliance Repair,2625680,NA,/companies/2625680-inglis-admiral-whirlpool?searched_category_id=306&service_area=1638884,NA,inglis-admiral-whirlpool,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1688732,Inglis-Admiral-Whirlpool,0,0,0,NA,"Appliance Repair, Appliance Repair Service, Appliance Repair Parts, Appliance Repair Manuals, Fridge Repair, Stove Repair, Oven Repair, Washer Repair, Dryer Repair, Microwave Repair, appliance repair, appliance parts, refrigerator repair, refrigerator parts, dishwasher repair, dishwasher parts, washing machine repair, washing machine parts, washer parts, dryer parts, dryer repair, stove repair, stove parts, water heater repair, appliance parts and repair, appliance parts, appliance installation, wrench, ,",0,FALSE,0,0,0,NA,FALSE,FALSE,FALSE,FALSE,1638884,0,306,NA,NA,NA
https://homestars.com/on/chilliwack/appliance-repair,14,https://homestars.com/on/chilliwack/appliance-repair?&page=2&,Appliance Repair,2645587,NA,/companies/2645587-sub-zero-factory-authorized-service?searched_category_id=306&service_area=1658791,NA,sub-zero-factory-authorized-service,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1708639,Sub-Zero Factory Authorized Service,0,0,0,NA,"Appliance Repair, Appliance Repair Service, Appliance Repair Parts, Appliance Repair Manuals, Fridge Repair, Stove Repair, Oven Repair, Washer Repair, Dryer Repair, Microwave Repair, appliance repair, appliance parts, refrigerator repair, refrigerator parts, dishwasher repair, dishwasher parts, washing machine repair, washing machine parts, washer parts, dryer parts, dryer repair, stove repair, stove parts, water heater repair, appliance parts and repair, appliance parts, appliance installation, wrench, ,",0,FALSE,0,0,0,NA,FALSE,FALSE,FALSE,FALSE,1658791,0,306,NA,NA,NA
https://homestars.com/on/chilliwack/appliance-repair,14,https://homestars.com/on/chilliwack/appliance-repair?&page=2&,Appliance Repair,2645589,NA,/companies/2645589-sub-zero-wolf?searched_category_id=306&service_area=1658793,NA,sub-zero-wolf,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1708641,Sub Zero - Wolf,0,0,0,NA,"Appliance Repair, Appliance Repair Service, Appliance Repair Parts, Appliance Repair Manuals, Fridge Repair, Stove Repair, Oven Repair, Washer Repair, Dryer Repair, Microwave Repair, appliance repair, appliance parts, refrigerator repair, refrigerator parts, dishwasher repair, dishwasher parts, washing machine repair, washing machine parts, washer parts, dryer parts, dryer repair, stove repair, stove parts, water heater repair, appliance parts and repair, appliance parts, appliance installation, wrench, ,",0,FALSE,0,0,0,NA,FALSE,FALSE,FALSE,FALSE,1658793,0,306,NA,NA,NA
https://homestars.com/on/chilliwack/appliance-repair,14,https://homestars.com/on/chilliwack/appliance-repair?&page=2&,Appliance Repair,2623328,NA,/companies/2623328-frigidaire-gibson-white-westinghouse?searched_category_id=306&service_area=1636532,NA,frigidaire-gibson-white-westinghouse,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1686380,Frigidaire-Gibson-White Westinghouse,0,0,0,NA,"Appliance Repair, Appliance Repair Service, Appliance Repair Parts, Appliance Repair Manuals, Fridge Repair, Stove Repair, Oven Repair, Washer Repair, Dryer Repair, Microwave Repair, appliance repair, appliance parts, refrigerator repair, refrigerator parts, dishwasher repair, dishwasher parts, washing machine repair, washing machine parts, washer parts, dryer parts, dryer repair, stove repair, stove parts, water heater repair, appliance parts and repair, appliance parts, appliance installation, wrench, ,",0,FALSE,0,0,0,NA,FALSE,FALSE,FALSE,FALSE,1636532,0,306,NA,NA,NA
https://homestars.com/on/chilliwack/appliance-repair,14,https://homestars.com/on/chilliwack/appliance-repair?&page=2&,Appliance Repair,2619888,NA,/companies/2619888-dependable-appliance-svc-ltd?searched_category_id=306&service_area=1633092,NA,dependable-appliance-svc-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1682940,Dependable Appliance Svc Ltd,0,0,0,NA,"Appliance Repair, Appliance Repair Service, Appliance Repair Parts, Appliance Repair Manuals, Fridge Repair, Stove Repair, Oven Repair, Washer Repair, Dryer Repair, Microwave Repair, appliance repair, appliance parts, refrigerator repair, refrigerator parts, dishwasher repair, dishwasher parts, washing machine repair, washing machine parts, washer parts, dryer parts, dryer repair, stove repair, stove parts, water heater repair, appliance parts and repair, appliance parts, appliance installation, wrench, ,",0,FALSE,0,0,0,NA,FALSE,FALSE,FALSE,FALSE,1633092,0,306,NA,NA,NA
https://homestars.com/on/chilliwack/appliance-repair,14,https://homestars.com/on/chilliwack/appliance-repair?&page=2&,Appliance Repair,2624475,NA,/companies/2624475-ge-hotpoint-moffat?searched_category_id=306&service_area=1637679,NA,ge-hotpoint-moffat,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1687527,GE-Hotpoint-Moffat,0,0,0,NA,"Appliance Repair, Appliance Repair Service, Appliance Repair Parts, Appliance Repair Manuals, Fridge Repair, Stove Repair, Oven Repair, Washer Repair, Dryer Repair, Microwave Repair, appliance repair, appliance parts, refrigerator repair, refrigerator parts, dishwasher repair, dishwasher parts, washing machine repair, washing machine parts, washer parts, dryer parts, dryer repair, stove repair, stove parts, water heater repair, appliance parts and repair, appliance parts, appliance installation, wrench, ,",0,FALSE,0,0,0,NA,FALSE,FALSE,FALSE,FALSE,1637679,0,306,NA,NA,NA
https://homestars.com/on/chilliwack/appliance-repair,14,https://homestars.com/on/chilliwack/appliance-repair?&page=2&,Appliance Repair,2582371,NA,/companies/2582371-dependable-appliance-service-ltd?searched_category_id=306&service_area=1595575,NA,dependable-appliance-service-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1645423,Dependable Appliance Service Ltd,0,0,0,NA,"Appliance Repair, Appliance Repair Service, Appliance Repair Parts, Appliance Repair Manuals, Fridge Repair, Stove Repair, Oven Repair, Washer Repair, Dryer Repair, Microwave Repair, appliance repair, appliance parts, refrigerator repair, refrigerator parts, dishwasher repair, dishwasher parts, washing machine repair, washing machine parts, washer parts, dryer parts, dryer repair, stove repair, stove parts, water heater repair, appliance parts and repair, appliance parts, appliance installation, wrench, ,",0,FALSE,0,0,0,NA,FALSE,FALSE,FALSE,FALSE,1595575,0,306,NA,NA,NA
https://homestars.com/on/chilliwack/appliance-repair,14,https://homestars.com/on/chilliwack/appliance-repair?&page=2&,Appliance Repair,2639199,NA,/companies/2639199-totem-appliance-refrigeration-ltd?searched_category_id=306&service_area=1652403,NA,totem-appliance-refrigeration-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1702251,Totem Appliance & Refrigeration Ltd,0,0,0,NA,"Appliance Repair, Appliance Repair Service, Appliance Repair Parts, Appliance Repair Manuals, Fridge Repair, Stove Repair, Oven Repair, Washer Repair, Dryer Repair, Microwave Repair, appliance repair, appliance parts, refrigerator repair, refrigerator parts, dishwasher repair, dishwasher parts, washing machine repair, washing machine parts, washer parts, dryer parts, dryer repair, stove repair, stove parts, water heater repair, appliance parts and repair, appliance parts, appliance installation, wrench, ,",0,FALSE,0,0,0,NA,FALSE,FALSE,FALSE,FALSE,1652403,0,306,NA,NA,NA
