Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,bully,secret,replied_to_at_least_one_review_cache,latest_approved_review_created_at,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,claimed_at,completion_percent_cache,subdomain
https://homestars.com/on/laval/general-contractors,15,https://homestars.com/on/laval/general-contractors?&page=2&,General Contractors,2805923,NA,/companies/2805923-marvin-baker-construction?searched_category_id=372&service_area=1873385,NA,marvin-baker-construction,2013-02-14T08:10:38.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1868923,Marvin Baker Construction,3,1,0,9,"General Contractors, Residential General Contractor, Building Contractor, Additions, Remodeling Contractor,  Renovation, Builder, building construction, renovation, remodeling, construction builders, construction company, construction companies, home repair, construction jobs, home remodeling, general contractors, contractors general, contractor general, contractors construction, construction contractors, home improvement and remodeling, kitchen remodeling, construction contractor, builders contractors, home renovation, general contracting, building contractors, building companies, home renovations, builder contractor, building contractor, remodeling contractor, commercial construction, residential construction, house contractor, concrete contractors, home contractors, general construction, construction general, contractors remodeling, remodeling contractors, remodelers, remodel contractor, remodel contractors, general contract, commercial contractors, renovations contractors, home improvement contractor, licensed contractor, license general contractor, mud room, mudroom, caulking, ,",0,FALSE,0,0,0,FALSE,2e7070c51ad9f53e764bf6167f7083e19f559657,FALSE,2014-11-25T21:30:26.000-05:00,TRUE,FALSE,1873385,64.1613163727,372,NA,NA,NA,NA,NA
https://homestars.com/on/laval/general-contractors,15,https://homestars.com/on/laval/general-contractors?&page=2&,General Contractors,2904474,NA,/companies/2904474-reno-resibec?searched_category_id=372&service_area=2138777,NA,reno-resibec,2017-11-07T07:26:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1966659,Reno Resibec ,0,0,1,NA,"General Contractors, Residential General Contractor, Building Contractor, Additions, Remodeling Contractor,  Renovation, Builder, building construction, renovation, remodeling, construction builders, construction company, construction companies, home repair, construction jobs, home remodeling, general contractors, contractors general, contractor general, contractors construction, construction contractors, home improvement and remodeling, kitchen remodeling, construction contractor, builders contractors, home renovation, general contracting, building contractors, building companies, home renovations, builder contractor, building contractor, remodeling contractor, commercial construction, residential construction, house contractor, concrete contractors, home contractors, general construction, construction general, contractors remodeling, remodeling contractors, remodelers, remodel contractor, remodel contractors, general contract, commercial contractors, renovations contractors, home improvement contractor, licensed contractor, license general contractor, mud room, mudroom, caulking, ,",0,FALSE,0,0,2,FALSE,12051bb71f6f703fd826200e08dc7a4cae52e32a,FALSE,NA,FALSE,FALSE,2138777,0,372,NA,NA,2017-11-07T07:26:58.000-05:00,0,NA
https://homestars.com/on/laval/general-contractors,15,https://homestars.com/on/laval/general-contractors?&page=2&,General Contractors,2805924,NA,/companies/2805924-marvin-baker-construction?searched_category_id=372&service_area=1873387,NA,marvin-baker-construction,2013-02-14T08:10:43.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1868924,Marvin Baker Construction,0,0,0,NA,"General Contractors, Residential General Contractor, Building Contractor, Additions, Remodeling Contractor,  Renovation, Builder, building construction, renovation, remodeling, construction builders, construction company, construction companies, home repair, construction jobs, home remodeling, general contractors, contractors general, contractor general, contractors construction, construction contractors, home improvement and remodeling, kitchen remodeling, construction contractor, builders contractors, home renovation, general contracting, building contractors, building companies, home renovations, builder contractor, building contractor, remodeling contractor, commercial construction, residential construction, house contractor, concrete contractors, home contractors, general construction, construction general, contractors remodeling, remodeling contractors, remodelers, remodel contractor, remodel contractors, general contract, commercial contractors, renovations contractors, home improvement contractor, licensed contractor, license general contractor, mud room, mudroom, caulking, ,",0,FALSE,0,0,0,FALSE,ac17bcb58f2fbfbc2162c5bae43c409c0bf9c11c,FALSE,NA,FALSE,FALSE,1873387,0,372,NA,NA,NA,NA,NA
https://homestars.com/on/laval/general-contractors,15,https://homestars.com/on/laval/general-contractors?&page=2&,General Contractors,2954868,,/companies/2954868-projetreno?searched_category_id=372&service_area=2250399,"Projetreno.ca met tout en œuvre afin de vous référez des entrepreneurs qualifiés et disponibles. Quelques soit le type de travaux que vous avez en tête, l’équipe de projetreno.ca identifiera les entrepreneurs qui correspondent à vos critères et vos besoins. Nos partenaires sont accrédités, professionnels et réputés. Ayez l’esprit tranquille, et obtenez des réponses rapidement!",projetreno,2021-04-05T23:25:28.000-04:00,NA,NA,NA,,,,,NA,NA,,,,,FALSE,FALSE,,,FALSE,FALSE,,2016846,ProjetReno,0,0,4,NA,"General Contractors, Residential General Contractor, Building Contractor, Additions, Remodeling Contractor,  Renovation, Builder, building construction, renovation, remodeling, construction builders, construction company, construction companies, home repair, construction jobs, home remodeling, general contractors, contractors general, contractor general, contractors construction, construction contractors, home improvement and remodeling, kitchen remodeling, construction contractor, builders contractors, home renovation, general contracting, building contractors, building companies, home renovations, builder contractor, building contractor, remodeling contractor, commercial construction, residential construction, house contractor, concrete contractors, home contractors, general construction, construction general, contractors remodeling, remodeling contractors, remodelers, remodel contractor, remodel contractors, general contract, commercial contractors, renovations contractors, home improvement contractor, licensed contractor, license general contractor, mud room, mudroom, caulking, ,",0,FALSE,0,0,5,FALSE,50c09e0f1a284d0456eb5a6017628aab3b02399d,FALSE,NA,TRUE,FALSE,2250399,0,372,NA,NA,2021-04-05T23:25:50.000-04:00,0,
https://homestars.com/on/laval/general-contractors,15,https://homestars.com/on/laval/general-contractors?&page=2&,General Contractors,2902588,http://www.armodec.com/,/companies/2902588-armodec?searched_category_id=372&service_area=2134616,"4171, boulevard Lite,Laval,Québec,H7E 1A4,Canada

Fabricant d'armoires de cuisine et de salle de bain sur mesure situé à Laval. Notre équipe de designers cuisinistes est prête à vous conseiller!
",armodec,2017-09-23T10:01:48.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1964773,Armodec,0,0,1,NA,"General Contractors, Residential General Contractor, Building Contractor, Additions, Remodeling Contractor,  Renovation, Builder, building construction, renovation, remodeling, construction builders, construction company, construction companies, home repair, construction jobs, home remodeling, general contractors, contractors general, contractor general, contractors construction, construction contractors, home improvement and remodeling, kitchen remodeling, construction contractor, builders contractors, home renovation, general contracting, building contractors, building companies, home renovations, builder contractor, building contractor, remodeling contractor, commercial construction, residential construction, house contractor, concrete contractors, home contractors, general construction, construction general, contractors remodeling, remodeling contractors, remodelers, remodel contractor, remodel contractors, general contract, commercial contractors, renovations contractors, home improvement contractor, licensed contractor, license general contractor, mud room, mudroom, caulking, ,",0,FALSE,0,0,2,FALSE,b449305e2b0e304d0561776885f1a2b07b4f22a8,FALSE,NA,FALSE,FALSE,2134616,-1.0,372,NA,NA,2017-09-23T10:04:29.000-04:00,0,NA
https://homestars.com/on/laval/general-contractors,15,https://homestars.com/on/laval/general-contractors?&page=2&,General Contractors,2881054,NA,/companies/2881054-service-superior?searched_category_id=372&service_area=2072580,We have been in business for 25 years. we can realise any construction project that suits your needs.. Our work is of the highest quality. Perfection is important to us and your satisfaction is our goal. Our company's employees are very knowledgeable and keep up to date with the current technologies in construction.,service-superior,2015-12-14T22:37:53.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1943478,Service Superior,0,0,0,NA,"General Contractors, Residential General Contractor, Building Contractor, Additions, Remodeling Contractor,  Renovation, Builder, building construction, renovation, remodeling, construction builders, construction company, construction companies, home repair, construction jobs, home remodeling, general contractors, contractors general, contractor general, contractors construction, construction contractors, home improvement and remodeling, kitchen remodeling, construction contractor, builders contractors, home renovation, general contracting, building contractors, building companies, home renovations, builder contractor, building contractor, remodeling contractor, commercial construction, residential construction, house contractor, concrete contractors, home contractors, general construction, construction general, contractors remodeling, remodeling contractors, remodelers, remodel contractor, remodel contractors, general contract, commercial contractors, renovations contractors, home improvement contractor, licensed contractor, license general contractor, mud room, mudroom, caulking, ,",0,FALSE,0,0,0,FALSE,8b6818f0e2453b0a0e4a408ced9561bded22f9e1,FALSE,NA,FALSE,FALSE,2072580,0,372,NA,NA,NA,0,NA
https://homestars.com/on/laval/general-contractors,15,https://homestars.com/on/laval/general-contractors?&page=2&,General Contractors,2947895,NA,/companies/2947895-i42-construction?searched_category_id=372&service_area=2235061,NA,i42-construction,2020-09-21T03:26:34.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,2010032,i42 Construction ,0,0,1,NA,"General Contractors, Residential General Contractor, Building Contractor, Additions, Remodeling Contractor,  Renovation, Builder, building construction, renovation, remodeling, construction builders, construction company, construction companies, home repair, construction jobs, home remodeling, general contractors, contractors general, contractor general, contractors construction, construction contractors, home improvement and remodeling, kitchen remodeling, construction contractor, builders contractors, home renovation, general contracting, building contractors, building companies, home renovations, builder contractor, building contractor, remodeling contractor, commercial construction, residential construction, house contractor, concrete contractors, home contractors, general construction, construction general, contractors remodeling, remodeling contractors, remodelers, remodel contractor, remodel contractors, general contract, commercial contractors, renovations contractors, home improvement contractor, licensed contractor, license general contractor, mud room, mudroom, caulking, ,",0,FALSE,0,0,2,FALSE,2f8ae9ef08892235259fd814fe25468262a15652,FALSE,NA,FALSE,FALSE,2235061,0,372,NA,NA,2020-09-21T03:27:32.000-04:00,0,NA
https://homestars.com/on/laval/general-contractors,15,https://homestars.com/on/laval/general-contractors?&page=2&,General Contractors,2929993,NA,/companies/2929993-archi-tech?searched_category_id=372&service_area=2194632,NA,archi-tech,2019-04-16T14:40:18.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1992167,Archi-Tech,0,0,6,NA,"General Contractors, Residential General Contractor, Building Contractor, Additions, Remodeling Contractor,  Renovation, Builder, building construction, renovation, remodeling, construction builders, construction company, construction companies, home repair, construction jobs, home remodeling, general contractors, contractors general, contractor general, contractors construction, construction contractors, home improvement and remodeling, kitchen remodeling, construction contractor, builders contractors, home renovation, general contracting, building contractors, building companies, home renovations, builder contractor, building contractor, remodeling contractor, commercial construction, residential construction, house contractor, concrete contractors, home contractors, general construction, construction general, contractors remodeling, remodeling contractors, remodelers, remodel contractor, remodel contractors, general contract, commercial contractors, renovations contractors, home improvement contractor, licensed contractor, license general contractor, mud room, mudroom, caulking, ,",0,FALSE,0,0,6,FALSE,a05ae83d4c65be3893963401d18b50c4708fbd76,FALSE,NA,TRUE,FALSE,2194632,0,372,NA,NA,2019-04-16T14:41:26.000-04:00,0,NA
https://homestars.com/on/laval/general-contractors,15,https://homestars.com/on/laval/general-contractors?&page=2&,General Contractors,2898201,http://www.marottecpa.ca/,/companies/2898201-marotte-cpa-inc?searched_category_id=372&service_area=2125625,"4422A, rue Louis-B.-Mayer,Laval,Québec,H7P 0G1,Canada

Marotte CPA, nous vous accompagnons dans la croissance de votre entreprise et de votre patrimoine en vous fournissant les services et conseils comptables nécessaires à vos besoins.
",marotte-cpa-inc,2017-06-15T07:58:35.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1960625,Marotte Cpa Inc.,0,0,0,NA,"General Contractors, Residential General Contractor, Building Contractor, Additions, Remodeling Contractor,  Renovation, Builder, building construction, renovation, remodeling, construction builders, construction company, construction companies, home repair, construction jobs, home remodeling, general contractors, contractors general, contractor general, contractors construction, construction contractors, home improvement and remodeling, kitchen remodeling, construction contractor, builders contractors, home renovation, general contracting, building contractors, building companies, home renovations, builder contractor, building contractor, remodeling contractor, commercial construction, residential construction, house contractor, concrete contractors, home contractors, general construction, construction general, contractors remodeling, remodeling contractors, remodelers, remodel contractor, remodel contractors, general contract, commercial contractors, renovations contractors, home improvement contractor, licensed contractor, license general contractor, mud room, mudroom, caulking, ,",0,FALSE,0,0,1,FALSE,82861e77f6380348bcba0767bf98dedd32400498,FALSE,NA,FALSE,FALSE,2125625,0,372,NA,NA,2017-06-15T07:59:48.000-04:00,0,NA
https://homestars.com/on/laval/general-contractors,15,https://homestars.com/on/laval/general-contractors?&page=2&,General Contractors,2894087,NA,/companies/2894087-fisc-aide?searched_category_id=372&service_area=2115075,"490 boul. du Curé-Labelle,Laval,Quebec,H7V 2T1,Canada


Fisc-Aide est une firme de fiscalistes spécialisés dans le règlement des problèmes fiscaux, quels qu'ils soient.
",fisc-aide,2017-02-14T04:31:02.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1956511,Fisc Aide,0,0,0,NA,"General Contractors, Residential General Contractor, Building Contractor, Additions, Remodeling Contractor,  Renovation, Builder, building construction, renovation, remodeling, construction builders, construction company, construction companies, home repair, construction jobs, home remodeling, general contractors, contractors general, contractor general, contractors construction, construction contractors, home improvement and remodeling, kitchen remodeling, construction contractor, builders contractors, home renovation, general contracting, building contractors, building companies, home renovations, builder contractor, building contractor, remodeling contractor, commercial construction, residential construction, house contractor, concrete contractors, home contractors, general construction, construction general, contractors remodeling, remodeling contractors, remodelers, remodel contractor, remodel contractors, general contract, commercial contractors, renovations contractors, home improvement contractor, licensed contractor, license general contractor, mud room, mudroom, caulking, ,",0,FALSE,0,0,0,FALSE,3abebde798b3ffa2ebc67b3497066d8e19a8695b,FALSE,NA,FALSE,FALSE,2115075,0,372,NA,NA,NA,0,NA
