Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,claimed_at,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,completion_percent_cache,bully,secret,replied_to_at_least_one_review_cache,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,latest_approved_review_created_at
https://homestars.com/on/prime%20brook/paint-wallpaper-contractors,20,https://homestars.com/on/prime%20brook/paint-wallpaper-contractors?&page=2&,Paint & Wallpaper Contractors,2943520,NA,/companies/2943520-preferred-painting-services?searched_category_id=409&service_area=2225092,NA,preferred-painting-services,2020-05-16T09:19:45.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,2005673,Preferred Painting Services,0,0,13,NA,"Paint & Wallpaper Contractors, Paint Colors, Paint Store, Paint Brush, Paint Shop, Home Wallpaper,Wallpaper, Paint colour advice, paint colour consultants, wallpapering, painter, faux, painters painting, painters paint, business painting, find painting, painting and restoration, new jersey painting, oh painting, local painting, wall paper repair, ,",0,2020-05-16T09:21:19.000-04:00,FALSE,0,0,14,0,FALSE,107257e02f6095e502196ba1a3465610fa3bb54f,FALSE,FALSE,FALSE,2225092,-1.0,409,NA,NA,NA
https://homestars.com/on/prime%20brook/paint-wallpaper-contractors,20,https://homestars.com/on/prime%20brook/paint-wallpaper-contractors?&page=2&,Paint & Wallpaper Contractors,2739040,NA,/companies/2739040-moraff-s?searched_category_id=409&service_area=1752244,NA,moraff-s,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1802092,Moraff's,1,1,0,10,"Paint & Wallpaper Contractors, Paint Colors, Paint Store, Paint Brush, Paint Shop, Home Wallpaper,Wallpaper, Paint colour advice, paint colour consultants, wallpapering, painter, faux, painters painting, painters paint, business painting, find painting, painting and restoration, new jersey painting, oh painting, local painting, wall paper repair, ,",0,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1752244,35.8104395604,409,NA,NA,2012-02-06T13:35:21.000-05:00
https://homestars.com/on/prime%20brook/paint-wallpaper-contractors,20,https://homestars.com/on/prime%20brook/paint-wallpaper-contractors?&page=2&,Paint & Wallpaper Contractors,2598138,NA,/companies/2598138-burns-pat-painting-contractors-ltd?searched_category_id=409&service_area=1611342,NA,burns-pat-painting-contractors-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1661190,Burns Pat Painting Contractors Ltd,1,1,0,10,"Paint & Wallpaper Contractors, Paint Colors, Paint Store, Paint Brush, Paint Shop, Home Wallpaper,Wallpaper, Paint colour advice, paint colour consultants, wallpapering, painter, faux, painters painting, painters paint, business painting, find painting, painting and restoration, new jersey painting, oh painting, local painting, wall paper repair, ,",0,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1611342,34.9587912088,409,NA,NA,2011-12-06T13:54:00.000-05:00
https://homestars.com/on/prime%20brook/paint-wallpaper-contractors,20,https://homestars.com/on/prime%20brook/paint-wallpaper-contractors?&page=2&,Paint & Wallpaper Contractors,2769739,NA,/companies/2769739-maritime-collision-repair?searched_category_id=409&service_area=1782943,NA,maritime-collision-repair,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1832791,Maritime Collision Repair,0,0,0,NA,"Paint & Wallpaper Contractors, Paint Colors, Paint Store, Paint Brush, Paint Shop, Home Wallpaper,Wallpaper, Paint colour advice, paint colour consultants, wallpapering, painter, faux, painters painting, painters paint, business painting, find painting, painting and restoration, new jersey painting, oh painting, local painting, wall paper repair, ,",0,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1782943,-1.0,409,NA,NA,NA
https://homestars.com/on/prime%20brook/paint-wallpaper-contractors,20,https://homestars.com/on/prime%20brook/paint-wallpaper-contractors?&page=2&,Paint & Wallpaper Contractors,2602580,NA,/companies/2602580-painted-illusions?searched_category_id=409&service_area=1615784,NA,painted-illusions,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1665632,Painted Illusions,0,0,0,NA,"Paint & Wallpaper Contractors, Paint Colors, Paint Store, Paint Brush, Paint Shop, Home Wallpaper,Wallpaper, Paint colour advice, paint colour consultants, wallpapering, painter, faux, painters painting, painters paint, business painting, find painting, painting and restoration, new jersey painting, oh painting, local painting, wall paper repair, ,",0,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1615784,-1.0,409,NA,NA,NA
https://homestars.com/on/prime%20brook/paint-wallpaper-contractors,20,https://homestars.com/on/prime%20brook/paint-wallpaper-contractors?&page=2&,Paint & Wallpaper Contractors,2709023,NA,/companies/2709023-lewis-steve-auto-body?searched_category_id=409&service_area=1722227,NA,lewis-steve-auto-body,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1772075,Lewis Steve Auto Body,0,0,0,NA,"Paint & Wallpaper Contractors, Paint Colors, Paint Store, Paint Brush, Paint Shop, Home Wallpaper,Wallpaper, Paint colour advice, paint colour consultants, wallpapering, painter, faux, painters painting, painters paint, business painting, find painting, painting and restoration, new jersey painting, oh painting, local painting, wall paper repair, ,",0,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1722227,-1.0,409,NA,NA,NA
https://homestars.com/on/prime%20brook/paint-wallpaper-contractors,20,https://homestars.com/on/prime%20brook/paint-wallpaper-contractors?&page=2&,Paint & Wallpaper Contractors,2739369,NA,/companies/2739369-northside-auto-salvage-ltd?searched_category_id=409&service_area=1752573,NA,northside-auto-salvage-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1802421,Northside Auto Salvage Ltd,0,0,0,NA,"Paint & Wallpaper Contractors, Paint Colors, Paint Store, Paint Brush, Paint Shop, Home Wallpaper,Wallpaper, Paint colour advice, paint colour consultants, wallpapering, painter, faux, painters painting, painters paint, business painting, find painting, painting and restoration, new jersey painting, oh painting, local painting, wall paper repair, ,",0,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1752573,-1.0,409,NA,NA,NA
https://homestars.com/on/prime%20brook/paint-wallpaper-contractors,20,https://homestars.com/on/prime%20brook/paint-wallpaper-contractors?&page=2&,Paint & Wallpaper Contractors,2743393,NA,/companies/2743393-village-carstar-collision?searched_category_id=409&service_area=1756597,NA,village-carstar-collision,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1806445,Village Carstar Collision,0,0,0,NA,"Paint & Wallpaper Contractors, Paint Colors, Paint Store, Paint Brush, Paint Shop, Home Wallpaper,Wallpaper, Paint colour advice, paint colour consultants, wallpapering, painter, faux, painters painting, painters paint, business painting, find painting, painting and restoration, new jersey painting, oh painting, local painting, wall paper repair, ,",0,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1756597,-1.0,409,NA,NA,NA
https://homestars.com/on/prime%20brook/paint-wallpaper-contractors,20,https://homestars.com/on/prime%20brook/paint-wallpaper-contractors?&page=2&,Paint & Wallpaper Contractors,2740932,NA,/companies/2740932-rim-pros-repair-refinishing-inc?searched_category_id=409&service_area=1754136,NA,rim-pros-repair-refinishing-inc,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1803984,Rim Pros Repair & Refinishing Inc,0,0,0,NA,"Paint & Wallpaper Contractors, Paint Colors, Paint Store, Paint Brush, Paint Shop, Home Wallpaper,Wallpaper, Paint colour advice, paint colour consultants, wallpapering, painter, faux, painters painting, painters paint, business painting, find painting, painting and restoration, new jersey painting, oh painting, local painting, wall paper repair, ,",0,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1754136,-1.0,409,NA,NA,NA
https://homestars.com/on/prime%20brook/paint-wallpaper-contractors,20,https://homestars.com/on/prime%20brook/paint-wallpaper-contractors?&page=2&,Paint & Wallpaper Contractors,2741072,NA,/companies/2741072-ron-may-pontiac-buick-gmc-ltd?searched_category_id=409&service_area=1754276,NA,ron-may-pontiac-buick-gmc-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1804124,Ron May Pontiac Buick GMC Ltd,0,0,0,NA,"Paint & Wallpaper Contractors, Paint Colors, Paint Store, Paint Brush, Paint Shop, Home Wallpaper,Wallpaper, Paint colour advice, paint colour consultants, wallpapering, painter, faux, painters painting, painters paint, business painting, find painting, painting and restoration, new jersey painting, oh painting, local painting, wall paper repair, ,",0,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1754276,-1.0,409,NA,NA,NA
