Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,completion_percent_cache,bully,secret,replied_to_at_least_one_review_cache,latest_approved_review_created_at,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,claimed_at
https://homestars.com/on/leith/tree-service,10,https://homestars.com/on/leith/tree-service,Tree Service,2891568,NA,/companies/2891568-applewood-tree-service?searched_category_id=444&service_area=2107785,,applewood-tree-service,2016-11-02T19:23:50.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1953992,Applewood Tree Service ,2,2,0,10,"Tree Service, tree pruning, arborist, tree health, sick tree, unhealthy tree, tree diagnostic, pruning a tree, hedges
 ,",0,FALSE,0,0,0,0,FALSE,536a01b23d0d3bdd3e662842447a0903131c0136,TRUE,2016-12-06T19:22:47.000-05:00,FALSE,FALSE,2107785,66.3259348759,444,NA,NA,NA
https://homestars.com/on/leith/tree-service,10,https://homestars.com/on/leith/tree-service,Tree Service,2596763,NA,/companies/2596763-redmond-s-tree-service?searched_category_id=444&service_area=1609967,NA,redmond-s-tree-service,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1659815,Redmond's Tree Service,0,0,0,NA,"Tree Service, tree pruning, arborist, tree health, sick tree, unhealthy tree, tree diagnostic, pruning a tree, hedges
 ,",0,FALSE,0,0,0,NA,FALSE,0d72dd3deab06c459540af4c039c4e45dbb5585e,FALSE,NA,FALSE,FALSE,1609967,0,444,NA,NA,2011-03-25T10:36:29.000-04:00
https://homestars.com/on/leith/tree-service,10,https://homestars.com/on/leith/tree-service,Tree Service,2630135,NA,/companies/2630135-wallace-tree-service?searched_category_id=444&service_area=1643339,NA,wallace-tree-service,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1693187,Wallace Tree Service,0,0,0,NA,"Tree Service, tree pruning, arborist, tree health, sick tree, unhealthy tree, tree diagnostic, pruning a tree, hedges
 ,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,1643339,0,444,NA,NA,NA
https://homestars.com/on/leith/tree-service,10,https://homestars.com/on/leith/tree-service,Tree Service,2608448,NA,/companies/2608448-johns-ken-powerline-construction?searched_category_id=444&service_area=1621652,NA,johns-ken-powerline-construction,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1671500,Johns Ken Powerline Construction,0,0,0,NA,"Tree Service, tree pruning, arborist, tree health, sick tree, unhealthy tree, tree diagnostic, pruning a tree, hedges
 ,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,1621652,0,444,NA,NA,NA
https://homestars.com/on/leith/tree-service,10,https://homestars.com/on/leith/tree-service,Tree Service,2761706,NA,/companies/2761706-georgian-tree-service?searched_category_id=444&service_area=1774910,NA,georgian-tree-service,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1824758,Georgian Tree Service,0,0,0,NA,"Tree Service, tree pruning, arborist, tree health, sick tree, unhealthy tree, tree diagnostic, pruning a tree, hedges
 ,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,1774910,0,444,NA,NA,NA
https://homestars.com/on/leith/tree-service,10,https://homestars.com/on/leith/tree-service,Tree Service,2650026,NA,/companies/2650026-fawcetts-tree-removal?searched_category_id=444&service_area=1663230,NA,fawcetts-tree-removal,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1713078,Fawcetts Tree Removal,0,0,0,NA,"Tree Service, tree pruning, arborist, tree health, sick tree, unhealthy tree, tree diagnostic, pruning a tree, hedges
 ,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,1663230,0,444,NA,NA,NA
https://homestars.com/on/leith/tree-service,10,https://homestars.com/on/leith/tree-service,Tree Service,2619835,NA,/companies/2619835-hellyer-s-tree-removal?searched_category_id=444&service_area=1633039,NA,hellyer-s-tree-removal,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1682887,Hellyer's Tree Removal,0,0,0,NA,"Tree Service, tree pruning, arborist, tree health, sick tree, unhealthy tree, tree diagnostic, pruning a tree, hedges
 ,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,1633039,0,444,NA,NA,NA
https://homestars.com/on/leith/tree-service,10,https://homestars.com/on/leith/tree-service,Tree Service,2762620,NA,/companies/2762620-woody-woodchuck-s?searched_category_id=444&service_area=1775824,NA,woody-woodchuck-s,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1825672,Woody Woodchuck's,0,0,0,NA,"Tree Service, tree pruning, arborist, tree health, sick tree, unhealthy tree, tree diagnostic, pruning a tree, hedges
 ,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,1775824,0,444,NA,NA,NA
https://homestars.com/on/leith/tree-service,10,https://homestars.com/on/leith/tree-service,Tree Service,2650408,NA,/companies/2650408-french-sons-paving-landscaping-tree-removal?searched_category_id=444&service_area=1663612,NA,french-sons-paving-landscaping-tree-removal,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1713460,French & Sons Paving Landscaping & Tree Removal,0,0,0,NA,"Tree Service, tree pruning, arborist, tree health, sick tree, unhealthy tree, tree diagnostic, pruning a tree, hedges
 ,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,1663612,0,444,NA,NA,NA
https://homestars.com/on/leith/tree-service,10,https://homestars.com/on/leith/tree-service,Tree Service,2753887,NA,/companies/2753887-arborist-yard-services-woodys?searched_category_id=444&service_area=1767091,NA,arborist-yard-services-woodys,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1816939,Arborist & Yard Services Woodys,0,0,0,NA,"Tree Service, tree pruning, arborist, tree health, sick tree, unhealthy tree, tree diagnostic, pruning a tree, hedges
 ,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,1767091,0,444,NA,NA,NA
