Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,claimed_at,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,completion_percent_cache,bully,secret,replied_to_at_least_one_review_cache,has_set_tasks,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,latest_approved_review_created_at,lead_purchase_eligible
https://homestars.com/on/cornwall/builders,28,"c(""https://homestars.com/on/cornwall/builders?&page=2&"", ""https://homestars.com/on/cornwall/builders?&page=3&"")",Builders,2975481,NA,/companies/2975481-breakthrough-construction?searched_category_id=321&service_area=2297593,NA,breakthrough-construction,2022-11-07T12:12:26.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,2037379,Breakthrough Construction,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,2022-11-07T12:37:32.000-05:00,FALSE,0,0,0,0,FALSE,01637f45ad860c7d76b6f0ee04cc3e65c617ddac,FALSE,FALSE,2297593,0,321,NA,NA,NA,NA
https://homestars.com/on/cornwall/builders,28,"c(""https://homestars.com/on/cornwall/builders?&page=2&"", ""https://homestars.com/on/cornwall/builders?&page=3&"")",Builders,2721906,NA,/companies/2721906-constructions-citebec-ltd-les?searched_category_id=321&service_area=1735110,NA,constructions-citebec-ltd-les,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1784958,Constructions Citebec Ltd (Les),1,1,0,10,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,1735110,21.9036347545,321,NA,NA,2008-12-14T06:21:12.000-05:00,FALSE
https://homestars.com/on/cornwall/builders,28,"c(""https://homestars.com/on/cornwall/builders?&page=2&"", ""https://homestars.com/on/cornwall/builders?&page=3&"")",Builders,2721701,NA,/companies/2721701-construction-roger-vincent-inc?searched_category_id=321&service_area=1734905,NA,construction-roger-vincent-inc,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1784753,Construction Roger Vincent Inc,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,1734905,0,321,NA,NA,NA,FALSE
https://homestars.com/on/cornwall/builders,28,"c(""https://homestars.com/on/cornwall/builders?&page=2&"", ""https://homestars.com/on/cornwall/builders?&page=3&"")",Builders,2751011,NA,/companies/2751011-glengarry-restoration-conservation-ltd?searched_category_id=321&service_area=1764215,NA,glengarry-restoration-conservation-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1814063,Glengarry Restoration & Conservation Ltd,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,1764215,0,321,NA,NA,NA,FALSE
https://homestars.com/on/cornwall/builders,28,"c(""https://homestars.com/on/cornwall/builders?&page=2&"", ""https://homestars.com/on/cornwall/builders?&page=3&"")",Builders,2547088,NA,/companies/2547088-biondo-ross-constr?searched_category_id=321&service_area=1560303,NA,biondo-ross-constr,2008-01-10T19:00:00.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1610031,Biondo Ross Constr,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,1560303,0,321,NA,NA,NA,FALSE
https://homestars.com/on/cornwall/builders,28,"c(""https://homestars.com/on/cornwall/builders?&page=2&"", ""https://homestars.com/on/cornwall/builders?&page=3&"")",Builders,2597169,NA,/companies/2597169-ouimet-rejean-construction-ltd?searched_category_id=321&service_area=1610373,NA,ouimet-rejean-construction-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1660221,Ouimet Rejean Construction Ltd,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,1610373,0,321,NA,NA,NA,FALSE
https://homestars.com/on/cornwall/builders,28,"c(""https://homestars.com/on/cornwall/builders?&page=2&"", ""https://homestars.com/on/cornwall/builders?&page=3&"")",Builders,2709435,NA,/companies/2709435-rona-home-centre?searched_category_id=321&service_area=1722639,NA,rona-home-centre,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1772487,RONA Home Centre,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,1722639,0,321,NA,NA,NA,FALSE
https://homestars.com/on/cornwall/builders,28,"c(""https://homestars.com/on/cornwall/builders?&page=2&"", ""https://homestars.com/on/cornwall/builders?&page=3&"")",Builders,2670190,NA,/companies/2670190-fontaine-paul-home-renovation?searched_category_id=321&service_area=1683394,NA,fontaine-paul-home-renovation,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1733242,Fontaine Paul Home Renovation,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,1683394,0,321,NA,NA,NA,FALSE
https://homestars.com/on/cornwall/builders,28,"c(""https://homestars.com/on/cornwall/builders?&page=2&"", ""https://homestars.com/on/cornwall/builders?&page=3&"")",Builders,2678150,NA,/companies/2678150-jc-custom-homes?searched_category_id=321&service_area=1691354,NA,jc-custom-homes,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1741202,JC Custom Homes,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,1691354,0,321,NA,NA,NA,FALSE
https://homestars.com/on/cornwall/builders,28,"c(""https://homestars.com/on/cornwall/builders?&page=2&"", ""https://homestars.com/on/cornwall/builders?&page=3&"")",Builders,2565160,NA,/companies/2565160-menard-bros-associates-ltdconstruction-division?searched_category_id=321&service_area=1578364,NA,menard-bros-associates-ltdconstruction-division,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1628212,Menard Bros & Associates LtdConstruction Division,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,1578364,0,321,NA,NA,NA,FALSE
https://homestars.com/on/cornwall/builders,28,"c(""https://homestars.com/on/cornwall/builders?&page=2&"", ""https://homestars.com/on/cornwall/builders?&page=3&"")",Builders,2595586,NA,/companies/2595586-leclerc-sons-ltd?searched_category_id=321&service_area=1608790,NA,leclerc-sons-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1658638,Leclerc & Sons Ltd,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,1608790,0,321,NA,NA,NA,FALSE
https://homestars.com/on/cornwall/builders,28,"c(""https://homestars.com/on/cornwall/builders?&page=2&"", ""https://homestars.com/on/cornwall/builders?&page=3&"")",Builders,2663633,NA,/companies/2663633-groupe-immobilier-grilli-incsige-social?searched_category_id=321&service_area=1676837,NA,groupe-immobilier-grilli-incsige-social,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1726685,Groupe Immobilier Grilli IncSi,1,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,1676837,0,321,NA,NA,NA,FALSE
https://homestars.com/on/cornwall/builders,28,"c(""https://homestars.com/on/cornwall/builders?&page=2&"", ""https://homestars.com/on/cornwall/builders?&page=3&"")",Builders,2675933,NA,/companies/2675933-hometech-construction?searched_category_id=321&service_area=1689137,NA,hometech-construction,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1738985,Hometech Construction,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,1689137,0,321,NA,NA,NA,FALSE
https://homestars.com/on/cornwall/builders,28,"c(""https://homestars.com/on/cornwall/builders?&page=2&"", ""https://homestars.com/on/cornwall/builders?&page=3&"")",Builders,2720663,NA,/companies/2720663-construction-jean-theoret-inc?searched_category_id=321&service_area=1733867,NA,construction-jean-theoret-inc,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1783715,Construction Jean Th,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,1733867,0,321,NA,NA,NA,FALSE
https://homestars.com/on/cornwall/builders,28,"c(""https://homestars.com/on/cornwall/builders?&page=2&"", ""https://homestars.com/on/cornwall/builders?&page=3&"")",Builders,2743466,NA,/companies/2743466-shalteck-construction-systems-inc?searched_category_id=321&service_area=1756670,NA,shalteck-construction-systems-inc,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1806518,Shalteck Construction Systems Inc,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,1756670,0,321,NA,NA,NA,FALSE
https://homestars.com/on/cornwall/builders,28,"c(""https://homestars.com/on/cornwall/builders?&page=2&"", ""https://homestars.com/on/cornwall/builders?&page=3&"")",Builders,2751529,NA,/companies/2751529-menard-structures-canada-limited?searched_category_id=321&service_area=1764733,NA,menard-structures-canada-limited,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1814581,Menard Structures (Canada) Limited,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,1764733,0,321,NA,NA,NA,FALSE
