Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,claimed_at,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,bully,secret,replied_to_at_least_one_review_cache,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,subdomain,completion_percent_cache
https://homestars.com/on/perth/builders,14,https://homestars.com/on/perth/builders?&page=2&,Builders,2751583,NA,/companies/2751583-pat-wolfe-log-building-school?searched_category_id=321&service_area=1764787,NA,pat-wolfe-log-building-school,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1814635,Pat Wolfe Log Building School,2,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,2012-03-05T22:00:22.000-05:00,FALSE,0,0,0,FALSE,0c072c212882240cc4abff7ce8c4b6dc69feb167,FALSE,FALSE,FALSE,1764787,0,321,NA,NA,NA,NA
https://homestars.com/on/perth/builders,14,https://homestars.com/on/perth/builders?&page=2&,Builders,2962875,,/companies/2962875-bld-homes?searched_category_id=321&service_area=2268322,"BLD Homes, (Brownlee Land Development), is a locally owned home builder that offers a higher quality of living to the town of Perth, Carleton Place/Beckwith and surrounding areas. At BLD, our focus is on building low maintenance, quality homes that will make your life simpler and better. From start to finish, we treat your home like it’s our own because if it’s not good enough for us, it’s not good enough for you. We choose the plan for each home and match it with the perfect lot to maximize your space and curb appeal. All you have to do is pick your finishes and we take care of the rest. BLD Homes. Living, Upgraded. ",bld-homes,2021-12-21T14:02:24.000-05:00,NA,NA,NA,,,,,NA,NA,,,,,FALSE,FALSE,,,FALSE,FALSE,,2024826,BLD Homes,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,2021-12-21T14:03:34.000-05:00,FALSE,0,0,1,FALSE,30e27fd3ec62bf271f915eec5b2de838558868dc,FALSE,TRUE,FALSE,2268322,0,321,NA,NA,,0
https://homestars.com/on/perth/builders,14,https://homestars.com/on/perth/builders?&page=2&,Builders,2637651,NA,/companies/2637651-wright-ken-building-contractors-inc?searched_category_id=321&service_area=1650855,NA,wright-ken-building-contractors-inc,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1700703,Wright Ken Building Contractors Inc,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1650855,0,321,NA,NA,NA,NA
https://homestars.com/on/perth/builders,14,https://homestars.com/on/perth/builders?&page=2&,Builders,2749953,NA,/companies/2749953-cavalier-david-m?searched_category_id=321&service_area=1763157,NA,cavalier-david-m,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1813005,Cavalier David M,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1763157,0,321,NA,NA,NA,NA
https://homestars.com/on/perth/builders,14,https://homestars.com/on/perth/builders?&page=2&,Builders,2597186,NA,/companies/2597186-maberly-housing?searched_category_id=321&service_area=1610390,NA,maberly-housing,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1660238,Maberly Housing,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1610390,0,321,NA,NA,NA,NA
https://homestars.com/on/perth/builders,14,https://homestars.com/on/perth/builders?&page=2&,Builders,2743398,NA,/companies/2743398-sentwood-mercer-ltd?searched_category_id=321&service_area=1756602,NA,sentwood-mercer-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1806450,Sentwood Mercer Ltd,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1756602,0,321,NA,NA,NA,NA
https://homestars.com/on/perth/builders,14,https://homestars.com/on/perth/builders?&page=2&,Builders,2741120,NA,/companies/2741120-jameswood-construction-ltd?searched_category_id=321&service_area=1754324,NA,jameswood-construction-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1804172,Jameswood Construction Ltd,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1754324,0,321,NA,NA,NA,NA
https://homestars.com/on/perth/builders,14,https://homestars.com/on/perth/builders?&page=2&,Builders,2748373,NA,/companies/2748373-south-shore-homes?searched_category_id=321&service_area=1761577,NA,south-shore-homes,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1811425,South Shore Homes,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1761577,0,321,NA,NA,NA,NA
https://homestars.com/on/perth/builders,14,https://homestars.com/on/perth/builders?&page=2&,Builders,2754488,NA,/companies/2754488-warwick-r-t?searched_category_id=321&service_area=1767692,NA,warwick-r-t,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1817540,Warwick R T,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1767692,0,321,NA,NA,NA,NA
https://homestars.com/on/perth/builders,14,https://homestars.com/on/perth/builders?&page=2&,Builders,2691491,NA,/companies/2691491-shoreline-homes?searched_category_id=321&service_area=1704695,NA,shoreline-homes,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1754543,Shoreline Homes,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1704695,0,321,NA,NA,NA,NA
