Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,claimed_at,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,bully,secret,replied_to_at_least_one_review_cache,latest_approved_review_created_at,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,completion_percent_cache
https://homestars.com/on/plattsville/builders,84,"c(""https://homestars.com/on/plattsville/builders?&page=2&"", ""https://homestars.com/on/plattsville/builders?&page=3&"", ""https://homestars.com/on/plattsville/builders?&page=4&"", ""https://homestars.com/on/plattsville/builders?&page=5&"", ""https://homestars.com/on/plattsville/builders?&page=6&"", ""https://homestars.com/on/plattsville/builders?&page=7&"", ""https://homestars.com/on/plattsville/builders?&page=8&"", ""https://homestars.com/on/plattsville/builders?&page=9&"")",Builders,2686258,NA,/companies/2686258-conestogo-carpenters-ltd?searched_category_id=321&service_area=1699462,NA,conestogo-carpenters-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1749310,Conestogo Carpenters Ltd,2,2,0,10,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,2017-10-25T16:33:34.000-04:00,FALSE,0,0,0,FALSE,09a27941609688b4f6a17422552287c2461a1472,FALSE,2013-08-28T19:08:43.000-04:00,TRUE,FALSE,1699462,72.9906061755,321,NA,NA,NA
https://homestars.com/on/plattsville/builders,84,"c(""https://homestars.com/on/plattsville/builders?&page=2&"", ""https://homestars.com/on/plattsville/builders?&page=3&"", ""https://homestars.com/on/plattsville/builders?&page=4&"", ""https://homestars.com/on/plattsville/builders?&page=5&"", ""https://homestars.com/on/plattsville/builders?&page=6&"", ""https://homestars.com/on/plattsville/builders?&page=7&"", ""https://homestars.com/on/plattsville/builders?&page=8&"", ""https://homestars.com/on/plattsville/builders?&page=9&"")",Builders,2674685,NA,/companies/2674685-heisler-homes-inc?searched_category_id=321&service_area=1687889,,heisler-homes-inc,2008-03-04T16:55:15.000-05:00,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1737737,Heisler Homes Inc,5,5,0,8,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,2014-08-20T15:18:09.000-04:00,FALSE,0,0,0,FALSE,edfa5748f3ac2060166761940dcacc931b26856b,FALSE,2015-01-06T00:15:41.000-05:00,FALSE,FALSE,1687889,47.4595409535,321,NA,NA,NA
https://homestars.com/on/plattsville/builders,84,"c(""https://homestars.com/on/plattsville/builders?&page=2&"", ""https://homestars.com/on/plattsville/builders?&page=3&"", ""https://homestars.com/on/plattsville/builders?&page=4&"", ""https://homestars.com/on/plattsville/builders?&page=5&"", ""https://homestars.com/on/plattsville/builders?&page=6&"", ""https://homestars.com/on/plattsville/builders?&page=7&"", ""https://homestars.com/on/plattsville/builders?&page=8&"", ""https://homestars.com/on/plattsville/builders?&page=9&"")",Builders,2869089,NA,/companies/2869089-forest-park-homes?searched_category_id=321&service_area=2026994,NA,forest-park-homes,2015-04-14T15:12:24.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1931513,Forest Park Homes,1,1,0,8,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,NA,FALSE,0,0,0,FALSE,ccb94382ad6698ec65a1e09a097b9a7881e5be80,FALSE,2015-04-14T15:06:51.000-04:00,TRUE,FALSE,2026994,35.5994505495,321,NA,NA,0
https://homestars.com/on/plattsville/builders,84,"c(""https://homestars.com/on/plattsville/builders?&page=2&"", ""https://homestars.com/on/plattsville/builders?&page=3&"", ""https://homestars.com/on/plattsville/builders?&page=4&"", ""https://homestars.com/on/plattsville/builders?&page=5&"", ""https://homestars.com/on/plattsville/builders?&page=6&"", ""https://homestars.com/on/plattsville/builders?&page=7&"", ""https://homestars.com/on/plattsville/builders?&page=8&"", ""https://homestars.com/on/plattsville/builders?&page=9&"")",Builders,2676786,NA,/companies/2676786-integra-homes-inc?searched_category_id=321&service_area=1689990,NA,integra-homes-inc,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1739838,Integra Homes Inc,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,2014-11-12T14:58:26.000-05:00,FALSE,0,0,0,FALSE,ecc82300da420feb89ad464594c6c7b55ff115d6,FALSE,NA,FALSE,FALSE,1689990,0,321,NA,NA,NA
https://homestars.com/on/plattsville/builders,84,"c(""https://homestars.com/on/plattsville/builders?&page=2&"", ""https://homestars.com/on/plattsville/builders?&page=3&"", ""https://homestars.com/on/plattsville/builders?&page=4&"", ""https://homestars.com/on/plattsville/builders?&page=5&"", ""https://homestars.com/on/plattsville/builders?&page=6&"", ""https://homestars.com/on/plattsville/builders?&page=7&"", ""https://homestars.com/on/plattsville/builders?&page=8&"", ""https://homestars.com/on/plattsville/builders?&page=9&"")",Builders,2805365,NA,/companies/2805365-sb-systems?searched_category_id=321&service_area=1872276,NA,sb-systems,2013-01-26T15:25:13.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1868365,Sb Systems,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,2013-02-01T14:17:34.000-05:00,FALSE,0,0,0,FALSE,ea3426e2de8179eb9098c24c33be73fc5486932b,FALSE,NA,FALSE,FALSE,1872276,0,321,NA,NA,NA
https://homestars.com/on/plattsville/builders,84,"c(""https://homestars.com/on/plattsville/builders?&page=2&"", ""https://homestars.com/on/plattsville/builders?&page=3&"", ""https://homestars.com/on/plattsville/builders?&page=4&"", ""https://homestars.com/on/plattsville/builders?&page=5&"", ""https://homestars.com/on/plattsville/builders?&page=6&"", ""https://homestars.com/on/plattsville/builders?&page=7&"", ""https://homestars.com/on/plattsville/builders?&page=8&"", ""https://homestars.com/on/plattsville/builders?&page=9&"")",Builders,2766320,NA,/companies/2766320-laurel-view-homes?searched_category_id=321&service_area=1779524,NA,laurel-view-homes,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1829372,Laurel View Homes,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,2013-01-17T11:51:53.000-05:00,FALSE,0,0,0,FALSE,fa8a13024a0c3aa65b2e466508853944521f4ae7,FALSE,NA,FALSE,FALSE,1779524,0,321,NA,NA,NA
https://homestars.com/on/plattsville/builders,84,"c(""https://homestars.com/on/plattsville/builders?&page=2&"", ""https://homestars.com/on/plattsville/builders?&page=3&"", ""https://homestars.com/on/plattsville/builders?&page=4&"", ""https://homestars.com/on/plattsville/builders?&page=5&"", ""https://homestars.com/on/plattsville/builders?&page=6&"", ""https://homestars.com/on/plattsville/builders?&page=7&"", ""https://homestars.com/on/plattsville/builders?&page=8&"", ""https://homestars.com/on/plattsville/builders?&page=9&"")",Builders,2936511,NA,/companies/2936511-homeimprove?searched_category_id=321&service_area=2209559,NA,homeimprove,2019-10-30T19:00:25.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1998685,homeimprove,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,2019-10-30T19:00:47.000-04:00,FALSE,0,0,0,FALSE,3c93665cd83d95a4a14704d1939b9710b6561c42,FALSE,NA,FALSE,FALSE,2209559,0,321,NA,NA,0
https://homestars.com/on/plattsville/builders,84,"c(""https://homestars.com/on/plattsville/builders?&page=2&"", ""https://homestars.com/on/plattsville/builders?&page=3&"", ""https://homestars.com/on/plattsville/builders?&page=4&"", ""https://homestars.com/on/plattsville/builders?&page=5&"", ""https://homestars.com/on/plattsville/builders?&page=6&"", ""https://homestars.com/on/plattsville/builders?&page=7&"", ""https://homestars.com/on/plattsville/builders?&page=8&"", ""https://homestars.com/on/plattsville/builders?&page=9&"")",Builders,2564927,NA,/companies/2564927-canadian-home-renovation-team-inc?searched_category_id=321&service_area=1578131,NA,canadian-home-renovation-team-inc,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1627979,Canadian Home & Renovation Team Inc,3,2,0,10,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,2016-02-03T10:45:09.000-05:00,FALSE,FALSE,1578131,71.3554914996,321,NA,NA,NA
https://homestars.com/on/plattsville/builders,84,"c(""https://homestars.com/on/plattsville/builders?&page=2&"", ""https://homestars.com/on/plattsville/builders?&page=3&"", ""https://homestars.com/on/plattsville/builders?&page=4&"", ""https://homestars.com/on/plattsville/builders?&page=5&"", ""https://homestars.com/on/plattsville/builders?&page=6&"", ""https://homestars.com/on/plattsville/builders?&page=7&"", ""https://homestars.com/on/plattsville/builders?&page=8&"", ""https://homestars.com/on/plattsville/builders?&page=9&"")",Builders,2709578,NA,/companies/2709578-rona-home-garden?searched_category_id=321&service_area=1722782,NA,rona-home-garden,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1772630,RONA Home & Garden,4,3,0,8.66667,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,2012-01-25T11:46:07.000-05:00,FALSE,FALSE,1722782,49.5991499176,321,NA,NA,NA
https://homestars.com/on/plattsville/builders,84,"c(""https://homestars.com/on/plattsville/builders?&page=2&"", ""https://homestars.com/on/plattsville/builders?&page=3&"", ""https://homestars.com/on/plattsville/builders?&page=4&"", ""https://homestars.com/on/plattsville/builders?&page=5&"", ""https://homestars.com/on/plattsville/builders?&page=6&"", ""https://homestars.com/on/plattsville/builders?&page=7&"", ""https://homestars.com/on/plattsville/builders?&page=8&"", ""https://homestars.com/on/plattsville/builders?&page=9&"")",Builders,2795283,NA,/companies/2795283-wildwood-custom-homes?searched_category_id=321&service_area=1857267,NA,wildwood-custom-homes,2012-02-20T22:21:34.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1858335,WILDWOOD CUSTOM HOMES,1,1,0,10,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,2012-02-20T22:27:19.000-05:00,FALSE,FALSE,1857267,36.0027472527,321,NA,NA,NA
