Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,completion_percent_cache,bully,replied_to_at_least_one_review_cache,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,latest_approved_review_created_at
https://homestars.com/on/erindale/sunrooms-solariums-greenhouses,3,https://homestars.com/on/erindale/sunrooms-solariums-greenhouses,"Sunrooms, Solariums & Greenhouses",2934341,NA,/companies/2934341-fixsunrooms?searched_category_id=439&service_area=2204586,NA,fixsunrooms,2019-08-26T21:47:38.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1996515,Fixsunrooms ,3,2,0,5,"Sunrooms, Solariums & Greenhouses, Four Season Sun Room, Sun Room Kit, Sun Room Addition, Solarium Furniture, Green House Nursery, Portable Green House, Green House Manufacturer, conservatory, conservatories,",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE,2204586,54.2981634209,439,NA,NA,NA
https://homestars.com/on/erindale/sunrooms-solariums-greenhouses,3,https://homestars.com/on/erindale/sunrooms-solariums-greenhouses,"Sunrooms, Solariums & Greenhouses",2567533,NA,/companies/2567533-crystal-palace-conservatories-inc?searched_category_id=439&service_area=1580737,NA,crystal-palace-conservatories-inc,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1630585,Crystal Palace Conservatories Inc,3,2,0,0,"Sunrooms, Solariums & Greenhouses, Four Season Sun Room, Sun Room Kit, Sun Room Addition, Solarium Furniture, Green House Nursery, Portable Green House, Green House Manufacturer, conservatory, conservatories,",0,FALSE,0,0,0,NA,FALSE,FALSE,FALSE,FALSE,1580737,0.0,439,NA,NA,2010-12-15T20:56:04.000-05:00
https://homestars.com/on/erindale/sunrooms-solariums-greenhouses,3,https://homestars.com/on/erindale/sunrooms-solariums-greenhouses,"Sunrooms, Solariums & Greenhouses",2584005,NA,/companies/2584005-alps-restoration-1985-ltd?searched_category_id=439&service_area=1597209,NA,alps-restoration-1985-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1647057,Alps Restoration (1985) Ltd,0,0,0,NA,"Sunrooms, Solariums & Greenhouses, Four Season Sun Room, Sun Room Kit, Sun Room Addition, Solarium Furniture, Green House Nursery, Portable Green House, Green House Manufacturer, conservatory, conservatories,",0,FALSE,0,0,0,NA,FALSE,FALSE,FALSE,FALSE,1597209,-1.0,439,NA,NA,NA
