Trade_Name,Code,Classification,Exam,Red_Seal,Trade_Details,Trade_Link
Construction Millwright,426A,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/construction-millwright/
Cook,415A,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/cook/
Developmental Services Worker,620D,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/developmental-services-worker/
Die Designer,670D,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/die-designer/
Draftsperson  Tool and Die Design,614C,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/draftsperson-tool-and-die-design/
Draftsperson – Mechanical,614A,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/draftsperson-mechanical/
Draftsperson – Plastic Mould Design,614B,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/draftsperson-plastic-mould-design/
Drywall Finisher and Plasterer,453A,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/drywall-finisher-and-plasterer/
"Drywall, Acoustic and Lathing Applicator",451A,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/drywall-acoustic-and-lathing-applicator/
Educational Assistant,620E,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/educational-assistant/
Electric Motor System Technician,446A,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/electric-motor-system-technician/
Electrician – Construction and Maintenance,309A,Compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/electrician-construction-and-maintenance/
Electrician – Domestic and Rural,309C,Compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/electrician-domestic-and-rural/
Electrician (Signal Maintenance),289F,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/electrician-signal-maintenance/
Electronic Service Technician,416E,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/electronic-service-technician/
Elevating Devices Mechanic,636E,Non-compulsory,Y (Professional exam provided by Technical Safety Standards Authority),,View Details,https://www.skilledtradesontario.ca/trade-information/elevating-devices-mechanic/
Entertainment Industry Power Technician,269E,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/entertainment-industry-power-technician/
Exterior Insulated Finish Systems Mechanic,455A,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/exterior-insulated-finish-systems-mechanic/
Facilities Mechanic,255W,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/facilities-mechanic/
Facilities Technician,255B,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/facilities-technician/
Floor Covering Installer,448A,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/floor-covering-installer/
Fuel and Electrical Systems Technician,310C,Compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/fuel-and-electrical-systems-technician/
Gemsetter/Goldsmith,606G,Non-compulsory,N,,View Details,https://www.skilledtradesontario.ca/trade-information/gemsettergoldsmith/
General Carpenter,403A,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/general-carpenter/
General Machinist,429A,Non-compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/general-machinist/
"Hairstylist(Hairstylist is an Interprovincial Red Seal trade, but Ontario does not currently offer a Red Seal Endorsement. Candidates who complete the requirements of the Ontario Hairstylist apprenticeship program or qualify through our Trade Equivalency Assessment program and successfully challenge the Certification of Qualification exam, will receive a provincial Certificate of Qualification only.)",332A,Compulsory,Y,,View Details,https://www.skilledtradesontario.ca/trade-information/hairstylist/
